04_orf05817_rev 05_orf00178 08_orf01318 16_orf06320
04_orf06533_rev 05_orf00923_rev 08_orf00075 16_orf11496
04_orf15696 05_orf00046 08_orf00336 16_orf08262_rev
04_orf14998_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf00561_rev 05_orf01161 08_orf00084 16_orf05667_rev
04_orf00999 05_orf00884_rev 08_orf01611_rev 16_orf04742_rev
04_orf09785 05_orf00005 08_orf01470 16_orf02204_rev
04_orf03212 05_orf00326_rev 08_orf01196 16_orf09101
04_orf12542 05_orf00953 08_orf01313 16_orf09818
04_orf07490 05_orf00110 08_orf01711_rev 16_orf10431_rev
04_orf07383 05_orf00654 08_orf02203 16_orf03602_rev
04_orf11263_rev 05_orf00653 08_orf00378 16_orf12353
04_orf01467 05_orf00665 08_orf01662_rev 16_orf01744_rev
04_orf04860_rev 05_orf01086 08_orf01199 16_orf08684
04_orf07096 05_orf00711_rev 08_orf01280 16_orf05155_rev
04_orf07581 05_orf00326_rev 08_orf00558_rev 16_orf07788
04_orf01944 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf05544 05_orf00289 08_orf02243_rev 16_orf00138
04_orf04942 05_orf00213 08_orf00995_rev 16_orf09159
04_orf06694_rev 05_orf00253_rev 08_orf00692 16_orf09157
04_orf15648_rev 05_orf00884_rev 08_orf01611_rev 16_orf04742_rev
04_orf11617 05_orf00005 08_orf01470 16_orf02204_rev
04_orf03190 05_orf00654 08_orf01405 16_orf09106
04_orf12177 05_orf00186 08_orf00995_rev 16_orf09159
04_orf14880 05_orf00923_rev 08_orf01456 16_orf08876_rev
04_orf00522_rev 05_orf00491_rev 08_orf01821_rev 16_orf12123
04_orf01799_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf16090 05_orf00799_rev 08_orf01315 16_orf06317
04_orf02997 05_orf00285 08_orf01756 16_orf03274_rev
04_orf09942 05_orf00653 08_orf00972 16_orf09206
04_orf16367_rev 05_orf00186 08_orf01145 16_orf03758_rev
04_orf00534_rev 05_orf00464 08_orf00337 16_orf02761
04_orf16857_rev 05_orf00654 08_orf01405 16_orf04898
04_orf01238 05_orf00811 08_orf01854_rev 16_orf02824
04_orf12040 05_orf00280 08_orf01145 16_orf03758_rev
04_orf05922 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf13275 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf01361_rev 05_orf00139_rev 08_orf01747 16_orf10789
04_orf01598 05_orf00987_rev 08_orf00155_rev 16_orf01350_rev
04_orf13592_rev 05_orf00153 08_orf00895 16_orf09083
04_orf07073 05_orf00725_rev 08_orf01258 16_orf03815_rev
04_orf08433 05_orf00671_rev 08_orf01106 16_orf12118
04_orf08692 05_orf00710_rev 08_orf01963_rev 16_orf04345_rev
04_orf08824_rev 05_orf00186 08_orf01189 16_orf02279_rev
04_orf10353_rev 05_orf00186 08_orf01332 16_orf08719_rev
04_orf04224 05_orf01195 08_orf01555_rev 16_orf11390
04_orf04200 05_orf01144_rev 08_orf01447 16_orf03300_rev
04_orf08726 05_orf00046 08_orf00336 16_orf08262_rev
04_orf09187_rev 05_orf00978_rev 08_orf01468 16_orf12121
04_orf03142_rev 05_orf00978_rev 08_orf01468 16_orf12121
04_orf16065_rev 05_orf00326_rev 08_orf02227_rev 16_orf04366_rev
04_orf05793_rev 05_orf00654 08_orf00201_rev 16_orf01232
04_orf15595 05_orf00277 08_orf01104 16_orf12115
04_orf02950 05_orf00195_rev 08_orf01103 16_orf12114
04_orf16079_rev 05_orf00186 08_orf01332 16_orf08719_rev
04_orf06280 05_orf00276 08_orf01103 16_orf12114
04_orf10548_rev 05_orf00545 08_orf01370 16_orf03836
04_orf06511_rev 05_orf00799_rev 08_orf01315 16_orf06317
04_orf03149_rev 05_orf00276 08_orf01103 16_orf12114
04_orf16738_rev 05_orf00041 08_orf01933_rev 16_orf09569_rev
04_orf02279_rev 05_orf00820_rev 08_orf00978_rev 16_orf06219_rev
04_orf02952 05_orf00277 08_orf01434 16_orf12115
04_orf13122_rev 05_orf00257 08_orf01681_rev 16_orf01168
04_orf12015_rev 05_orf00253_rev 08_orf00995_rev 16_orf09157
04_orf13079_rev 05_orf00340 08_orf00550 16_orf04741_rev
04_orf07659 05_orf00997_rev 08_orf01379 16_orf05824
04_orf10869 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf00769 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf08847 05_orf00953 08_orf01313 16_orf02297
04_orf09281_rev 05_orf00326_rev 08_orf00555 16_orf09101
04_orf07047 05_orf00364_rev 08_orf00755 16_orf08913_rev
04_orf13104 05_orf00280 08_orf00692 16_orf02117
04_orf07235_rev 05_orf00654 08_orf00419 16_orf04235_rev
04_orf04302 05_orf00364_rev 08_orf00692 16_orf08913_rev
04_orf06112 05_orf00326_rev 08_orf00555 16_orf09101
04_orf15228 05_orf01162 08_orf01796_rev 16_orf01841
04_orf04690_rev 05_orf00653 08_orf00378 16_orf12353
04_orf02845 05_orf00326_rev 08_orf01196 16_orf09101
04_orf09588_rev 05_orf00507_rev 08_orf01449 16_orf04231_rev
04_orf07662 05_orf00996_rev 08_orf01380 16_orf04982_rev
04_orf10594_rev 05_orf00354_rev 08_orf00937_rev 16_orf05556
04_orf13818 05_orf00978_rev 08_orf01468 16_orf12121
04_orf02213_rev 05_orf00277 08_orf01434 16_orf12115
04_orf04177 05_orf00038 08_orf01042 16_orf05466_rev
04_orf00109_rev 05_orf00978_rev 08_orf01467 16_orf12120
04_orf05441_rev 05_orf01135 08_orf01724_rev 16_orf07266_rev
04_orf10193_rev 05_orf00977_rev 08_orf01332 16_orf12121
04_orf02101_rev 05_orf00277 08_orf01104 16_orf12115
04_orf02817 05_orf00326_rev 08_orf01196 16_orf09101
04_orf14877 05_orf01195 08_orf01555_rev 16_orf11390
04_orf13516_rev 05_orf00695_rev 08_orf01692_rev 16_orf07500
04_orf06388_rev 05_orf00654 08_orf01564_rev 16_orf08925
04_orf13717_rev 05_orf01056_rev 08_orf01439 16_orf10197
04_orf16882_rev 05_orf00393 08_orf01866_rev 16_orf01427
04_orf07548 05_orf00568 08_orf02135 16_orf04382_rev
04_orf12214 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf02433_rev 05_orf00364_rev 08_orf00843 16_orf08913_rev
04_orf02957 05_orf00978_rev 08_orf01468 16_orf12121
04_orf13346 05_orf01208_rev 08_orf00997_rev 16_orf06755
04_orf16745_rev 05_orf00971 08_orf01955 16_orf06805_rev
04_orf07734 05_orf01023 08_orf01530 16_orf07165_rev
04_orf15594 05_orf00276 08_orf01433 16_orf12114
04_orf12198_rev 05_orf00326_rev 08_orf00384_rev 16_orf09101
04_orf04551_rev 05_orf00100 08_orf02112 16_orf09954
04_orf08748_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf10137 05_orf00464 08_orf00337 16_orf02761
04_orf02521_rev 05_orf00654 08_orf00718 16_orf02576_rev
04_orf03356_rev 05_orf00653 08_orf00378 16_orf12353
04_orf14560 05_orf00109_rev 08_orf01952_rev 16_orf06919
04_orf00143 05_orf00654 08_orf00314 16_orf04235_rev
04_orf16687_rev 05_orf00799_rev 08_orf01315 16_orf06317
04_orf09060_rev 05_orf00326_rev 08_orf02227_rev 16_orf09101
04_orf11612 05_orf00978_rev 08_orf01467 16_orf12120
04_orf16384_rev 05_orf00799_rev 08_orf01315 16_orf06317
04_orf07877_rev 05_orf00280 08_orf01145 16_orf03758_rev
04_orf01181 05_orf00109_rev 08_orf01952_rev 16_orf06919
04_orf07068 05_orf00728_rev 08_orf01254 16_orf03821_rev
04_orf03362_rev 05_orf00654 08_orf01564_rev 16_orf08925
04_orf07798 05_orf00213 08_orf01077 16_orf03956_rev
04_orf07751 05_orf00278 08_orf01106 16_orf12118
04_orf05319_rev 05_orf00491_rev 08_orf01821_rev 16_orf12123
04_orf10139 05_orf00046 08_orf00336 16_orf08262_rev
04_orf09720_rev 05_orf01208_rev 08_orf00747_rev 16_orf09155
04_orf14964_rev 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf01827 05_orf00653 08_orf00972 16_orf06263
04_orf16804 05_orf00485 08_orf02219_rev 16_orf07331_rev
04_orf07440 05_orf00005 08_orf01470 16_orf02204_rev
04_orf06330 05_orf00485 08_orf01812 16_orf07331_rev
04_orf00792 05_orf00005 08_orf01470 16_orf02204_rev
04_orf09565 05_orf00141 08_orf00986_rev 16_orf09431
04_orf03145_rev 05_orf00278 08_orf01106 16_orf12118
04_orf07755 05_orf00978_rev 08_orf02142_rev 16_orf12121
04_orf09250 05_orf00277 08_orf01434 16_orf12115
04_orf07283_rev 05_orf00701 08_orf01719_rev 16_orf04127
04_orf07088 05_orf00715_rev 08_orf01269 16_orf03790_rev
04_orf09196 05_orf00276 08_orf01103 16_orf12114
04_orf02955 05_orf00978_rev 08_orf01467 16_orf12120
04_orf03681_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf06646_rev 05_orf01209 08_orf01800_rev 16_orf03327_rev
04_orf12540_rev 05_orf00796_rev 08_orf01120 16_orf09524
04_orf11091_rev 05_orf01205_rev 08_orf01271 16_orf00304_rev
04_orf12868 05_orf00186 08_orf01332 16_orf08719_rev
04_orf10612 05_orf00840_rev 08_orf00532_rev 16_orf05892
04_orf12610 05_orf00175 08_orf01814_rev 16_orf03995_rev
04_orf01112 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf06492 05_orf01180_rev 08_orf01574_rev 16_orf04314_rev
04_orf04954_rev 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf13114_rev 05_orf00926_rev 08_orf01338 16_orf02696
04_orf06177_rev 05_orf00062_rev 08_orf02105 16_orf05478
04_orf07687_rev 05_orf00368_rev 08_orf01906 16_orf03537
04_orf01477 05_orf01026_rev 08_orf01990_rev 16_orf09114
04_orf03639 05_orf00326_rev 08_orf02227_rev 16_orf02977_rev
04_orf06164 05_orf00654 08_orf01564_rev 16_orf08925
04_orf06713 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf10406_rev 05_orf00178 08_orf01318 16_orf06320
04_orf06448 05_orf00364_rev 08_orf01065 16_orf08913_rev
04_orf16596 05_orf00654 08_orf01564_rev 16_orf07758_rev
04_orf09192_rev 05_orf00277 08_orf01434 16_orf12115
04_orf07042 05_orf00431_rev 08_orf01241 16_orf02535
04_orf11828 05_orf01192 08_orf01114_rev 16_orf09713
04_orf02023 05_orf00326_rev 08_orf02227_rev 16_orf01709_rev
04_orf05280 05_orf00770 08_orf01818_rev 16_orf00859_rev
04_orf01250 05_orf00024_rev 08_orf01685_rev 16_orf01835
04_orf15976_rev 05_orf00545 08_orf01370 16_orf04540
04_orf06078 05_orf00545 08_orf01370 16_orf04540
04_orf07069 05_orf00727_rev 08_orf01256 16_orf03820_rev
04_orf06401_rev 05_orf00280 08_orf01145 16_orf09157
04_orf04384 05_orf00005 08_orf01470 16_orf02204_rev
04_orf02212_rev 05_orf00978_rev 08_orf01467 16_orf12120
04_orf04788 05_orf00654 08_orf00718 16_orf02576_rev
04_orf10569 05_orf00326_rev 08_orf01196 16_orf01709_rev
04_orf10835_rev 05_orf00508_rev 08_orf01736 16_orf02919_rev
04_orf01078_rev 05_orf00101 08_orf00123_rev 16_orf03336
04_orf09067_rev 05_orf00654 08_orf01405 16_orf09106
04_orf02500_rev 05_orf00654 08_orf00718 16_orf08925
04_orf03930 05_orf00326_rev 08_orf00558_rev 16_orf01647_rev
04_orf01258 05_orf01178 08_orf01982_rev 16_orf03855_rev
04_orf15679 05_orf01172 08_orf01657 16_orf07511_rev
04_orf01273 05_orf01194_rev 08_orf01445 16_orf05943
04_orf03992 05_orf00507_rev 08_orf01449 16_orf04231_rev
04_orf05712 05_orf00808 08_orf01771_rev 16_orf02298
04_orf13820 05_orf00277 08_orf01434 16_orf12115
04_orf02585_rev 05_orf00653 08_orf00972 16_orf00825_rev
04_orf16910_rev 05_orf00184_rev 08_orf01270 16_orf06309_rev
04_orf05832 05_orf00545 08_orf01370 16_orf04540
04_orf10590_rev 05_orf00972 08_orf01954 16_orf06810_rev
04_orf12654 05_orf00326_rev 08_orf00555 16_orf01709_rev
04_orf02875_rev 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf07665 05_orf00995_rev 08_orf01381 16_orf05754_rev
04_orf05934_rev 05_orf00947 08_orf00171_rev 16_orf09884
04_orf07080 05_orf00719_rev 08_orf01265 16_orf03803_rev
04_orf06478 05_orf01070 08_orf01580_rev 16_orf02790
04_orf02107_rev 05_orf00326_rev 08_orf02227_rev 16_orf01709_rev
04_orf11272 05_orf00849 08_orf00969 16_orf01439_rev
04_orf05450 05_orf00325_rev 08_orf01197 16_orf09102
04_orf01364_rev 05_orf00514 08_orf01340 16_orf10485_rev
04_orf15764_rev 05_orf00953 08_orf01313 16_orf02297
04_orf10061 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf05225 05_orf00095 08_orf00255 16_orf06231_rev
04_orf13976_rev 05_orf00277 08_orf01434 16_orf12115
04_orf04149_rev 05_orf00754_rev 08_orf01233_rev 16_orf11442_rev
04_orf13284_rev 05_orf01225_rev 08_orf01859_rev 16_orf06933_rev
04_orf09106_rev 05_orf00326_rev 08_orf02227_rev 16_orf04366_rev
04_orf03706_rev 05_orf00195_rev 08_orf01433 16_orf12114
04_orf10079_rev 05_orf00156_rev 08_orf01214_rev 16_orf12465
04_orf13003_rev 05_orf00298 08_orf01403 16_orf05773_rev
04_orf16750_rev 05_orf00602_rev 08_orf01046 16_orf03604_rev
04_orf16113 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf11490_rev 05_orf01121 08_orf01670_rev 16_orf03473_rev
04_orf04903 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf05363 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf02207_rev 05_orf00276 08_orf01103 16_orf12114
04_orf07469 05_orf00005 08_orf01470 16_orf02204_rev
04_orf07060 05_orf00734_rev 08_orf01248 16_orf03830_rev
04_orf00749_rev 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf01353_rev 05_orf00451_rev 08_orf00908 16_orf02931
04_orf14572 05_orf00701 08_orf01719_rev 16_orf04127
04_orf07091 05_orf00714_rev 08_orf01274 16_orf05163_rev
04_orf11989 05_orf00157_rev 08_orf01216_rev 16_orf02872_rev
04_orf05478_rev 05_orf00492_rev 08_orf01880 16_orf07710
04_orf07983 05_orf00186 08_orf00995_rev 16_orf09157
04_orf12102 05_orf00947 08_orf00171_rev 16_orf09884
04_orf05607_rev 05_orf00326_rev 08_orf02227_rev 16_orf09101
04_orf00767 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf14328_rev 05_orf00186 08_orf00692 16_orf01762_rev
04_orf09391 05_orf00654 08_orf01564_rev 16_orf08925
04_orf09756_rev 05_orf00977_rev 08_orf00692 16_orf03758_rev
04_orf08153 05_orf00923_rev 08_orf01189 16_orf01300
04_orf04054_rev 05_orf00545 08_orf01370 16_orf04540
04_orf16540_rev 05_orf00653 08_orf00972 16_orf08105
04_orf04033_rev 05_orf01161 08_orf01293 16_orf05667_rev
04_orf01589_rev 05_orf00693_rev 08_orf01131 16_orf02645_rev
04_orf07078 05_orf00720_rev 08_orf01264 16_orf03805_rev
04_orf01820 05_orf00326_rev 08_orf01196 16_orf09101
04_orf08826_rev 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf05407_rev 05_orf00186 08_orf01332 16_orf02117
04_orf02977_rev 05_orf00654 08_orf00201_rev 16_orf08602
04_orf12904_rev 05_orf00065 08_orf01725_rev 16_orf05746_rev
04_orf11326 05_orf00654 08_orf01405 16_orf00682_rev
04_orf11611 05_orf00278 08_orf01106 16_orf12118
04_orf11853 05_orf00414_rev 08_orf02249_rev 16_orf00209
04_orf00391_rev 05_orf00213 08_orf01332 16_orf01762_rev
04_orf15704_rev 05_orf00484 08_orf01920_rev 16_orf03544_rev
04_orf05237_rev 05_orf00485 08_orf01282 16_orf09424
04_orf01628_rev 05_orf01041_rev 08_orf01453 16_orf11117_rev
04_orf09122_rev 05_orf00326_rev 08_orf02227_rev 16_orf09101
04_orf01043 05_orf01120_rev 08_orf01365 16_orf08742
04_orf01439_rev 05_orf00326_rev 08_orf01196 16_orf07788
04_orf13209_rev 05_orf00040 08_orf01936_rev 16_orf09571_rev
04_orf01148 05_orf01172 08_orf01657 16_orf07511_rev
04_orf09484_rev 05_orf01070 08_orf01406 16_orf02790
04_orf08391 05_orf00952 08_orf02249_rev 16_orf06325
04_orf08432 05_orf00277 08_orf01434 16_orf12115
04_orf02017 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf04217 05_orf00800_rev 08_orf01367 16_orf03776_rev
04_orf04173 05_orf01129 08_orf01412 16_orf04939
04_orf00496_rev 05_orf00653 08_orf01563_rev 16_orf11824_rev
04_orf01331 05_orf00747_rev 08_orf01227_rev 16_orf03370_rev
04_orf13521 05_orf00884_rev 08_orf01611_rev 16_orf08685_rev
04_orf01244 05_orf00478_rev 08_orf01225_rev 16_orf08358
04_orf09085 05_orf00414_rev 08_orf02249_rev 16_orf00209
04_orf07265 05_orf00178 08_orf01318 16_orf06320
04_orf13308_rev 05_orf00613 08_orf01397 16_orf03108_rev
04_orf06220 05_orf00206 08_orf01535_rev 16_orf11112
04_orf14275_rev 05_orf00796_rev 08_orf01473 16_orf07185
04_orf02966 05_orf00977_rev 08_orf01468 16_orf12121
04_orf13205_rev 05_orf00042 08_orf01932_rev 16_orf09568_rev
04_orf05447 05_orf00327_rev 08_orf01195 16_orf09098
04_orf01052_rev 05_orf01208_rev 08_orf00747_rev 16_orf09155
04_orf16333_rev 05_orf00947 08_orf00171_rev 16_orf09884
04_orf06771_rev 05_orf00690_rev 08_orf01805 16_orf07515
04_orf02287 05_orf00186 08_orf00995_rev 16_orf09159
04_orf07040 05_orf00432_rev 08_orf01240 16_orf02531
04_orf05720 05_orf00326_rev 08_orf01196 16_orf09101
04_orf03278 05_orf00326_rev 08_orf02227_rev 16_orf01709_rev
04_orf12620 05_orf01172 08_orf00187_rev 16_orf07511_rev
04_orf16243_rev 05_orf00545 08_orf01370 16_orf04540
04_orf14996_rev 05_orf00280 08_orf01145 16_orf03758_rev
04_orf12011 05_orf00519 08_orf01334 16_orf02773_rev
04_orf10587_rev 05_orf00975 08_orf00937_rev 16_orf00412
04_orf07921 05_orf00613 08_orf01397 16_orf03108_rev
04_orf04863_rev 05_orf00742_rev 08_orf01061 16_orf08678
04_orf03937_rev 05_orf00857_rev 08_orf01669_rev 16_orf00694_rev
04_orf05458 05_orf00044 08_orf01824_rev 16_orf01721_rev
04_orf03803_rev 05_orf00326_rev 08_orf00555 16_orf09101
04_orf00111_rev 05_orf00278 08_orf01435 16_orf12118
04_orf16875_rev 05_orf00710_rev 08_orf01963_rev 16_orf04345_rev
04_orf13536_rev 05_orf01139 08_orf01881 16_orf00863_rev
04_orf08544 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf14373_rev 05_orf01208_rev 08_orf00997_rev 16_orf09155
04_orf07868 05_orf00741_rev 08_orf01062 16_orf09988_rev
04_orf01663_rev 05_orf00749 08_orf01544_rev 16_orf01075
04_orf08469 05_orf00653 08_orf00719 16_orf06263
04_orf14145_rev 05_orf00280 08_orf01145 16_orf03758_rev
04_orf03598_rev 05_orf01191 08_orf01116_rev 16_orf03333
04_orf08940 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf05552 05_orf00186 08_orf00692 16_orf03758_rev
04_orf01595 05_orf00692_rev 08_orf01374 16_orf09479
04_orf02091_rev 05_orf00978_rev 08_orf01467 16_orf12120
04_orf06697 05_orf01208_rev 08_orf00747_rev 16_orf06755
04_orf13291 05_orf00947 08_orf00173_rev 16_orf00545
04_orf07632 05_orf00180 08_orf01287 16_orf00807_rev
04_orf06695 05_orf00253_rev 08_orf00995_rev 16_orf09157
04_orf10022 05_orf00923_rev 08_orf00393 16_orf08963
04_orf12736 05_orf01208_rev 08_orf00997_rev 16_orf06755
04_orf09781 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf09975_rev 05_orf00653 08_orf00378 16_orf12353
04_orf10506_rev 05_orf00326_rev 08_orf02227_rev 16_orf01709_rev
04_orf12018_rev 05_orf01208_rev 08_orf00278 16_orf06755
04_orf08668_rev 05_orf00639_rev 08_orf02031_rev 16_orf08299
04_orf14876 05_orf00923_rev 08_orf01456 16_orf00323
04_orf08444 05_orf00654 08_orf00718 16_orf07190_rev
04_orf07382 05_orf00654 08_orf01405 16_orf07576_rev
04_orf12480_rev 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf01461 05_orf01184 08_orf01665_rev 16_orf01747_rev
04_orf14241_rev 05_orf00887_rev 08_orf01564_rev 16_orf01247
04_orf04083 05_orf00812 08_orf01132 16_orf07309
04_orf01603 05_orf00808 08_orf00269 16_orf11067
04_orf08869_rev 05_orf00978_rev 08_orf01467 16_orf12120
04_orf07062 05_orf00733_rev 08_orf01249 16_orf03828_rev
04_orf09805 05_orf00186 08_orf01145 16_orf03758_rev
04_orf03333 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf07546 05_orf00602_rev 08_orf01046 16_orf03604_rev
04_orf07110 05_orf00932 08_orf00457 16_orf12336
04_orf16759_rev 05_orf00775 08_orf00685 16_orf11980
04_orf12978_rev 05_orf00625_rev 08_orf02018_rev 16_orf01784_rev
04_orf05177_rev 05_orf00186 08_orf01332 16_orf08719_rev
04_orf06779 05_orf00213 08_orf00995_rev 16_orf09159
04_orf16751_rev 05_orf00213 08_orf01332 16_orf03956_rev
04_orf07568 05_orf00328_rev 08_orf01194 16_orf03543
04_orf07031 05_orf00437_rev 08_orf01742_rev 16_orf03765_rev
04_orf05009_rev 05_orf00005 08_orf01470 16_orf02204_rev
04_orf09214_rev 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf00249_rev 05_orf00486 08_orf01777_rev 16_orf04121_rev
04_orf00260_rev 05_orf00326_rev 08_orf00662 16_orf10589
04_orf09553 05_orf00653 08_orf01563_rev 16_orf07576_rev
04_orf08905_rev 05_orf00326_rev 08_orf02227_rev 16_orf09101
04_orf07032 05_orf00436_rev 08_orf01741_rev 16_orf03764_rev
04_orf03878 05_orf00005 08_orf01470 16_orf02204_rev
04_orf12281_rev 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf16464_rev 05_orf00186 08_orf01332 16_orf01627
04_orf15049_rev 05_orf00484 08_orf01920_rev 16_orf06933_rev
04_orf01253 05_orf00591 08_orf01682_rev 16_orf01840
04_orf13285 05_orf01097_rev 08_orf01822_rev 16_orf07291
04_orf03866 05_orf01172 08_orf00187_rev 16_orf05029_rev
04_orf03621_rev 05_orf00326_rev 08_orf01196 16_orf04366_rev
04_orf09423 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf00167_rev 05_orf01209 08_orf01800_rev 16_orf03327_rev
04_orf02403 05_orf00653 08_orf00972 16_orf11535_rev
04_orf12743_rev 05_orf00458 08_orf01323 16_orf04741_rev
04_orf09338 05_orf00032_rev 08_orf01931_rev 16_orf07104_rev
04_orf01339 05_orf00900_rev 08_orf01768_rev 16_orf02473
04_orf00876 05_orf00213 08_orf01077 16_orf09324_rev
04_orf00716 05_orf00326_rev 08_orf01196 16_orf09101
04_orf01293_rev 05_orf01086 08_orf01199 16_orf09104
04_orf09981_rev 05_orf00923_rev 08_orf01188 16_orf11496
04_orf05449 05_orf00326_rev 08_orf01196 16_orf09101
04_orf11802_rev 05_orf01130_rev 08_orf01179 16_orf02606_rev
04_orf05383 05_orf00993_rev 08_orf01463 16_orf11082
04_orf01080 05_orf00654 08_orf00201_rev 16_orf10753
04_orf11609 05_orf00277 08_orf01104 16_orf12115
04_orf13072_rev 05_orf00342 08_orf00552 16_orf05549_rev
04_orf15651_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf08140 05_orf00156_rev 08_orf01214_rev 16_orf12465
04_orf08919 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf04051_rev 05_orf00608_rev 08_orf01073 16_orf12130_rev
04_orf01497_rev 05_orf01019_rev 08_orf02010 16_orf10033_rev
04_orf10168 05_orf00923_rev 08_orf01188 16_orf02279_rev
04_orf15075_rev 05_orf00364_rev 08_orf01065 16_orf08913_rev
04_orf16460 05_orf00157_rev 08_orf01216_rev 16_orf02872_rev
04_orf08048_rev 05_orf00326_rev 08_orf00558_rev 16_orf04849
04_orf09068_rev 05_orf00653 08_orf01563_rev 16_orf08041_rev
04_orf09850 05_orf00914 08_orf01466 16_orf01364
04_orf10170 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf15275_rev 05_orf00326_rev 08_orf01196 16_orf02001_rev
04_orf07845 05_orf00960_rev 08_orf01515_rev 16_orf08972
04_orf02964 05_orf00978_rev 08_orf01467 16_orf12120
04_orf04102_rev 05_orf01133 08_orf01901 16_orf05750_rev
04_orf00039 05_orf00654 08_orf00201_rev 16_orf06608
04_orf03262_rev 05_orf01172 08_orf00187_rev 16_orf07511_rev
04_orf09183_rev 05_orf00005 08_orf01470 16_orf02204_rev
04_orf15282_rev 05_orf00923_rev 08_orf00123_rev 16_orf11496
04_orf06089 05_orf00326_rev 08_orf00555 16_orf09101
04_orf15054_rev 05_orf00484 08_orf01920_rev 16_orf03544_rev
04_orf06356_rev 05_orf00326_rev 08_orf01196 16_orf09101
04_orf12539_rev 05_orf00795_rev 08_orf01122 16_orf00311
04_orf11199_rev 05_orf00326_rev 08_orf01196 16_orf04849
04_orf16292 05_orf00799_rev 08_orf01315 16_orf06317
04_orf13062 05_orf00654 08_orf01405 16_orf08925
04_orf07501 05_orf00142 08_orf01295 16_orf02826
04_orf01405_rev 05_orf00923_rev 08_orf01068 16_orf02279_rev
04_orf00373_rev 05_orf00280 08_orf01077 16_orf05272
04_orf08693 05_orf00981 08_orf01429 16_orf00831
04_orf08939 05_orf00923_rev 08_orf01188 16_orf08876_rev
04_orf15604 05_orf00005 08_orf01470 16_orf02204_rev
04_orf02786_rev 05_orf00923_rev 08_orf01189 16_orf02279_rev
04_orf02970 05_orf00277 08_orf01434 16_orf12115
04_orf08663_rev 05_orf00060 08_orf02028_rev 16_orf01606_rev
04_orf06686 05_orf00326_rev 08_orf00558_rev 16_orf01647_rev
04_orf07066 05_orf00730_rev 08_orf01252 16_orf03823_rev
04_orf03567 05_orf00459 08_orf02258 16_orf00625
04_orf02210_rev 05_orf00978_rev 08_orf02142_rev 16_orf12121
04_orf03506_rev 05_orf00280 08_orf01145 16_orf03758_rev
04_orf13212_rev 05_orf00039 08_orf01937_rev 16_orf09573_rev
04_orf13505_rev 05_orf00466_rev 08_orf01672_rev 16_orf04596
04_orf11601_rev 05_orf00247 08_orf01103 16_orf12114
04_orf13295 05_orf00947 08_orf00171_rev 16_orf00549
04_orf13699 05_orf00741_rev 08_orf01018 16_orf01507
04_orf14374_rev 05_orf00213 08_orf00995_rev 16_orf09159
04_orf01692_rev 05_orf00770 08_orf01818_rev 16_orf00859_rev
04_orf04157 05_orf00654 08_orf01564_rev 16_orf08925
04_orf07067 05_orf00729_rev 08_orf01253 16_orf03822_rev
04_orf11859 05_orf00654 08_orf01405 16_orf09106
04_orf00375_rev 05_orf00978_rev 08_orf01468 16_orf12120
04_orf01835_rev 05_orf00327_rev 08_orf01195 16_orf09098
04_orf06159 05_orf01026_rev 08_orf01143 16_orf09114
04_orf14402 05_orf00326_rev 08_orf02227_rev 16_orf04366_rev
04_orf01254 05_orf00744_rev 08_orf00197_rev 16_orf02300
04_orf11058 05_orf00213 08_orf00995_rev 16_orf06753
04_orf09770 05_orf00005 08_orf01470 16_orf02204_rev
