yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1433	Entry	Entry name		Protein names	Gene names	Organism	Length
DNAJC3		Q13217	DNJC3_HUMAN	reviewed	DnaJ homolog subfamily C member 3 (Endoplasmic reticulum DNA J domain-containing protein 6) (ER-resident protein ERdj6) (ERdj6) (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)	DNAJC3 P58IPK PRKRI	Homo sapiens (Human)	504
DNAJC3		X6R9L0	X6R9L0_HUMAN	unreviewed	DnaJ homolog subfamily C member 3	DNAJC3	Homo sapiens (Human)	453
EDC4		I3L0V0	I3L0V0_HUMAN	unreviewed	Enhancer of mRNA-decapping protein 4 (Fragment)	EDC4	Homo sapiens (Human)	154
EDC4		I3L2F4	I3L2F4_HUMAN	unreviewed	Enhancer of mRNA-decapping protein 4 (Fragment)	EDC4	Homo sapiens (Human)	135
EDC4		I3L3M2	I3L3M2_HUMAN	unreviewed	Enhancer of mRNA-decapping protein 4 (Fragment)	EDC4	Homo sapiens (Human)	176
EDC4		Q6P2E9	EDC4_HUMAN	reviewed	Enhancer of mRNA-decapping protein 4 (Autoantigen Ge-1) (Autoantigen RCD-8) (Human enhancer of decapping large subunit) (Hedls)	EDC4 HEDLS	Homo sapiens (Human)	1401
EDEM1		A0A024R2D5	A0A024R2D5_HUMAN	unreviewed	alpha-1,2-Mannosidase (EC 3.2.1.-)	EDEM1 hCG_21730	Homo sapiens (Human)	657
EDEM1		F8WE67	F8WE67_HUMAN	unreviewed	ER degradation-enhancing alpha-mannosidase-like protein 1	EDEM1	Homo sapiens (Human)	53
EDEM1		F8WER9	F8WER9_HUMAN	unreviewed	alpha-1,2-Mannosidase (EC 3.2.1.-)	EDEM1	Homo sapiens (Human)	78
EDEM1		Q92611	EDEM1_HUMAN	reviewed	ER degradation-enhancing alpha-mannosidase-like protein 1	EDEM1 EDEM KIAA0212	Homo sapiens (Human)	657
EEF2		M0R0I6	M0R0I6_HUMAN	unreviewed	Elongation factor 2 (Fragment)	EEF2	Homo sapiens (Human)	85
EEF2		P13639	EF2_HUMAN	reviewed	Elongation factor 2 (EF-2)	EEF2 EF2	Homo sapiens (Human)	858
EEF2		Q6PK56	Q6PK56_HUMAN	unreviewed	EEF2 protein (Fragment)	EEF2	Homo sapiens (Human)	583
EIF2AK3		C9J185	C9J185_HUMAN	unreviewed	Eukaryotic translation initiation factor 2-alpha kinase 3 (Fragment)	EIF2AK3	Homo sapiens (Human)	956
EIF2AK3		E7ER02	E7ER02_HUMAN	unreviewed	Eukaryotic translation initiation factor 2-alpha kinase 3	EIF2AK3	Homo sapiens (Human)	965
EIF2AK3		Q9NZJ5	E2AK3_HUMAN	reviewed	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	EIF2AK3 PEK PERK	Homo sapiens (Human)	1116
EIF2S1		G3V4T5	G3V4T5_HUMAN	unreviewed	Eukaryotic translation initiation factor 2 subunit 1 (Fragment)	EIF2S1	Homo sapiens (Human)	273
EIF2S1		H0YJS4	H0YJS4_HUMAN	unreviewed	Eukaryotic translation initiation factor 2 subunit 1 (Fragment)	EIF2S1	Homo sapiens (Human)	252
EIF2S1		P05198	IF2A_HUMAN	reviewed	Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha)	EIF2S1 EIF2A	Homo sapiens (Human)	315
EIF2S1		Q53XC0	Q53XC0_HUMAN	unreviewed	Eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa, isoform CRA_a (Full-length cDNA clone CS0DL010YH08 of B cells (Ramos cell line) of Homo sapiens (human)) (cDNA, FLJ92791, Homo sapiens eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa (EIF2S1), mRNA)	EIF2S1 hCG_21909	Homo sapiens (Human)	315
EIF4A1		J3KRC2	J3KRC2_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I	EIF4A1	Homo sapiens (Human)	85
EIF4A1		J3KS25	J3KS25_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	187
EIF4A1		J3KS93	J3KS93_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	85
EIF4A1		J3KSP3	J3KSP3_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I	EIF4A1	Homo sapiens (Human)	50
EIF4A1		J3KSZ0	J3KSZ0_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	230
EIF4A1		J3KT04	J3KT04_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	85
EIF4A1		J3KT12	J3KT12_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I	EIF4A1	Homo sapiens (Human)	341
EIF4A1		J3KTB5	J3KTB5_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	257
EIF4A1		J3KTN0	J3KTN0_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	117
EIF4A1		J3QKZ9	J3QKZ9_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	134
EIF4A1		J3QL43	J3QL43_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	271
EIF4A1		J3QL52	J3QL52_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	68
EIF4A1		J3QLN6	J3QLN6_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	163
EIF4A1		J3QQP0	J3QQP0_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I	EIF4A1	Homo sapiens (Human)	95
EIF4A1		J3QR64	J3QR64_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	214
EIF4A1		J3QRP5	J3QRP5_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I	EIF4A1	Homo sapiens (Human)	74
EIF4A1		J3QS69	J3QS69_HUMAN	unreviewed	Eukaryotic initiation factor 4A-I (Fragment)	EIF4A1	Homo sapiens (Human)	300
EIF4A1		P60842	IF4A1_HUMAN	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
EIF4A1		Q9NZR9	Q9NZR9_HUMAN	unreviewed	Eukaryotic initiation factor 4AI (Fragment)	EIF4A1	Homo sapiens (Human)	25
EIF4A2		C9JUF0	C9JUF0_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II (Fragment)	EIF4A2	Homo sapiens (Human)	57
EIF4A2		E7EMV8	E7EMV8_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II (Fragment)	EIF4A2	Homo sapiens (Human)	98
EIF4A2		E7EQG2	E7EQG2_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II	EIF4A2	Homo sapiens (Human)	362
EIF4A2		E9PBH4	E9PBH4_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II	EIF4A2	Homo sapiens (Human)	96
EIF4A2		F8WE11	F8WE11_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II	EIF4A2	Homo sapiens (Human)	97
EIF4A2		J3KSN7	J3KSN7_HUMAN	unreviewed	Eukaryotic initiation factor 4A-II (Fragment)	EIF4A2	Homo sapiens (Human)	109
EIF4A2		Q14240	IF4A2_HUMAN	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	407
EIF4A2		Q9NZE6	Q9NZE6_HUMAN	unreviewed	BM-010 (Eukaryotic translation initiation factor 4A, isoform 2, isoform CRA_b)	EIF4A2 hCG_1784041	Homo sapiens (Human)	312
EIF4A3		I3L3H2	I3L3H2_HUMAN	unreviewed	Eukaryotic initiation factor 4A-III (Fragment)	EIF4A3	Homo sapiens (Human)	125
EIF4A3		P38919	IF4A3_HUMAN	reviewed	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic initiation factor 4A-like NUK-34) (Eukaryotic translation initiation factor 4A isoform 3) (Nuclear matrix protein 265) (NMP 265) (hNMP 265) [Cleaved into: Eukaryotic initiation factor 4A-III, N-terminally processed]	EIF4A3 DDX48 KIAA0111	Homo sapiens (Human)	411
EIF4E		D6RBW1	D6RBW1_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E	EIF4E	Homo sapiens (Human)	245
EIF4E		D6RFJ3	D6RFJ3_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E	EIF4E	Homo sapiens (Human)	42
EIF4E		H0Y8J7	H0Y8J7_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E (Fragment)	EIF4E	Homo sapiens (Human)	155
EIF4E		P06730	IF4E_HUMAN	reviewed	Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	EIF4E EIF4EL1 EIF4F	Homo sapiens (Human)	217
EIF4E		Q32Q75	Q32Q75_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E	EIF4E	Homo sapiens (Human)	217
EIF4E		X5D7E3	X5D7E3_HUMAN	unreviewed	Eukaryotic translation initiation factor 4E isoform A (Fragment)	EIF4E	Homo sapiens (Human)	237
EIF4EBP1		Q13541	4EBP1_HUMAN	reviewed	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118
EIF4G1		B2RU06	B2RU06_HUMAN	unreviewed	eIF4G1 protein	EIF4G1	Homo sapiens (Human)	1606
EIF4G1		B2RU10	B2RU10_HUMAN	unreviewed	eIF4G1 protein	EIF4G1	Homo sapiens (Human)	1606
EIF4G1		C9J2Z7	C9J2Z7_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	833
EIF4G1		C9J556	C9J556_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	143
EIF4G1		C9J6B6	C9J6B6_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	757
EIF4G1		C9J987	C9J987_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	92
EIF4G1		C9JF13	C9JF13_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	903
EIF4G1		C9JHW9	C9JHW9_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	160
EIF4G1		C9JIH5	C9JIH5_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	87
EIF4G1		C9JSU8	C9JSU8_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	163
EIF4G1		C9JWH7	C9JWH7_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	127
EIF4G1		C9JWH9	C9JWH9_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	143
EIF4G1		C9JWW9	C9JWW9_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	285
EIF4G1		C9K073	C9K073_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	869
EIF4G1		E7EUU4	E7EUU4_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	Homo sapiens (Human)	1560
EIF4G1		E7EX73	E7EX73_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	Homo sapiens (Human)	1436
EIF4G1		E9PGM1	E9PGM1_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	Homo sapiens (Human)	1513
EIF4G1		F8WB97	F8WB97_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	Homo sapiens (Human)	71
EIF4G1		F8WCF2	F8WCF2_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1	EIF4G1	Homo sapiens (Human)	50
EIF4G1		H7C044	H7C044_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	226
EIF4G1		H7C0V6	H7C0V6_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma 1 (Fragment)	EIF4G1	Homo sapiens (Human)	180
EIF4G1		Q04637	IF4G1_HUMAN	reviewed	Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)	EIF4G1 EIF4F EIF4G EIF4GI	Homo sapiens (Human)	1599
EIF4G1		Q96I65	Q96I65_HUMAN	unreviewed	Eukaryotic translation initiation factor 4 gamma, 1 (eIF4G1 protein)	EIF4G1	Homo sapiens (Human)	645
ERN1		O75460	ERN1_HUMAN	reviewed	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ERN1 IRE1	Homo sapiens (Human)	977
ERO1L		Q96HE7	ERO1A_HUMAN	reviewed	ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic oxidoreductin-1-like protein) (Endoplasmic reticulum oxidoreductase alpha) (Oxidoreductin-1-L-alpha)	ERO1A ERO1L UNQ434/PRO865	Homo sapiens (Human)	468
EXOC2		A0A024QZT2	A0A024QZT2_HUMAN	unreviewed	Exocyst complex component 2, isoform CRA_a	EXOC2 hCG_22649	Homo sapiens (Human)	924
EXOC2		Q2MDF5	Q2MDF5_HUMAN	unreviewed	Exocyst complex component 2 (Fragment)	EXOC2	Homo sapiens (Human)	140
EXOC2		Q96KP1	EXOC2_HUMAN	reviewed	Exocyst complex component 2 (Exocyst complex component Sec5)	EXOC2 SEC5 SEC5L1	Homo sapiens (Human)	924
EXOSC1		B1AMU3	B1AMU3_HUMAN	unreviewed	Exosome complex component CSL4	EXOSC1	Homo sapiens (Human)	170
EXOSC1		B1AMU4	B1AMU4_HUMAN	unreviewed	Exosome complex component CSL4	EXOSC1	Homo sapiens (Human)	178
EXOSC1		B1AMU7	B1AMU7_HUMAN	unreviewed	Exosome complex component CSL4 (Fragment)	EXOSC1	Homo sapiens (Human)	165
EXOSC1		Q9Y3B2	EXOS1_HUMAN	reviewed	Exosome complex component CSL4 (Exosome component 1)	EXOSC1 CSL4 CGI-108	Homo sapiens (Human)	195
EXOSC1		R4GMQ7	R4GMQ7_HUMAN	unreviewed	Exosome complex component CSL4 (Fragment)	EXOSC1	Homo sapiens (Human)	143
EXOSC1		R4GNH9	R4GNH9_HUMAN	unreviewed	Exosome complex component CSL4	EXOSC1	Homo sapiens (Human)	139
EXOSC10		K7EJ37	K7EJ37_HUMAN	unreviewed	Exosome component 10	EXOSC10	Homo sapiens (Human)	124
EXOSC10		L8E6Y6	L8E6Y6_HUMAN	unreviewed	Alternative protein EXOSC10	EXOSC10	Homo sapiens (Human)	48
EXOSC10		Q01780	EXOSX_HUMAN	reviewed	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)	885
EXOSC10		Q96G78	Q96G78_HUMAN	unreviewed	EXOSC10 protein (Fragment)	EXOSC10	Homo sapiens (Human)	61
EXOSC2		A2VCR1	A2VCR1_HUMAN	unreviewed	EXOSC2 protein (Fragment)	EXOSC2	Homo sapiens (Human)	88
EXOSC2		A3KFL1	A3KFL1_HUMAN	unreviewed	Exosome complex component RRP4 (Fragment)	EXOSC2	Homo sapiens (Human)	200
EXOSC2		A3KFL2	A3KFL2_HUMAN	unreviewed	Exosome complex component RRP4	EXOSC2	Homo sapiens (Human)	285
EXOSC2		A3KFL5	A3KFL5_HUMAN	unreviewed	Exosome complex component RRP4 (Fragment)	EXOSC2	Homo sapiens (Human)	237
EXOSC2		Q13868	EXOS2_HUMAN	reviewed	Exosome complex component RRP4 (Exosome component 2) (Ribosomal RNA-processing protein 4)	EXOSC2 RRP4	Homo sapiens (Human)	293
EXOSC4		E9PI41	E9PI41_HUMAN	unreviewed	Exosome complex component RRP41 (Fragment)	EXOSC4	Homo sapiens (Human)	261
EXOSC4		E9PPI9	E9PPI9_HUMAN	unreviewed	Exosome complex component RRP41	EXOSC4	Homo sapiens (Human)	156
EXOSC4		Q9NPD3	EXOS4_HUMAN	reviewed	Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A)	EXOSC4 RRP41 SKI6	Homo sapiens (Human)	245
EXOSC5		M0R050	M0R050_HUMAN	unreviewed	Exosome complex component RRP46	EXOSC5	Homo sapiens (Human)	197
EXOSC5		M0R102	M0R102_HUMAN	unreviewed	Exosome complex component RRP46 (Fragment)	EXOSC5	Homo sapiens (Human)	133
EXOSC5		M0R289	M0R289_HUMAN	unreviewed	Exosome complex component RRP46 (Fragment)	EXOSC5	Homo sapiens (Human)	62
EXOSC5		Q9NQT4	EXOS5_HUMAN	reviewed	Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B)	EXOSC5 CML28 RRP46	Homo sapiens (Human)	235
EXOSC9		A5PLM5	A5PLM5_HUMAN	unreviewed	Exosome component 9	EXOSC9	Homo sapiens (Human)	439
EXOSC9		D6R905	D6R905_HUMAN	unreviewed	Exosome complex component RRP45 (Fragment)	EXOSC9	Homo sapiens (Human)	226
EXOSC9		D6RA17	D6RA17_HUMAN	unreviewed	Exosome complex component RRP45 (Exosome component 9, isoform CRA_e)	EXOSC9 hCG_38830	Homo sapiens (Human)	242
EXOSC9		D6RAP4	D6RAP4_HUMAN	unreviewed	Exosome complex component RRP45	EXOSC9	Homo sapiens (Human)	86
EXOSC9		D6RIY6	D6RIY6_HUMAN	unreviewed	Exosome complex component RRP45 (Exosome component 9, isoform CRA_f)	EXOSC9 hCG_38830	Homo sapiens (Human)	423
EXOSC9		H0Y9L5	H0Y9L5_HUMAN	unreviewed	Exosome complex component RRP45 (Fragment)	EXOSC9	Homo sapiens (Human)	172
EXOSC9		Q06265	EXOS9_HUMAN	reviewed	Exosome complex component RRP45 (Autoantigen PM/Scl 1) (Exosome component 9) (P75 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 1) (Polymyositis/scleroderma autoantigen 75 kDa) (PM/Scl-75)	EXOSC9 PMSCL1	Homo sapiens (Human)	439
FKBP14		A0A090N7V8	A0A090N7V8_HUMAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)	FKBP14 hCG_38314 tcag7.681	Homo sapiens (Human)	211
FKBP14		F8WBZ0	F8WBZ0_HUMAN	unreviewed	Peptidyl-prolyl cis-trans isomerase FKBP14	FKBP14	Homo sapiens (Human)	66
FKBP14		H7C1Z9	H7C1Z9_HUMAN	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8) (Fragment)	FKBP14	Homo sapiens (Human)	89
FKBP14		Q9NWM8	FKB14_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381	Homo sapiens (Human)	211
FUS		H3BNZ4	H3BNZ4_HUMAN	unreviewed	RNA-binding protein FUS	FUS	Homo sapiens (Human)	263
FUS		H3BPE7	H3BPE7_HUMAN	unreviewed	RNA-binding protein FUS	FUS	Homo sapiens (Human)	527
FUS		P35637	FUS_HUMAN	reviewed	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)	526
FUS		Q6IBQ5	Q6IBQ5_HUMAN	unreviewed	FUS protein (Fusion (Involved in t(1216) in malignant liposarcoma), isoform CRA_a) (Fusion, derived from t(12;16) malignant liposarcoma)	FUS hCG_21147	Homo sapiens (Human)	526
FUS		Q8TBR3	Q8TBR3_HUMAN	unreviewed	Fusion (Involved in t(1216) in malignant liposarcoma)	FUS	Homo sapiens (Human)	526
GEMIN4		E7EN12	E7EN12_HUMAN	unreviewed	Gem-associated protein 4	GEMIN4	Homo sapiens (Human)	184
GEMIN4		I3L1J7	I3L1J7_HUMAN	unreviewed	Gem-associated protein 4 (Fragment)	GEMIN4	Homo sapiens (Human)	70
GEMIN4		I3L2C7	I3L2C7_HUMAN	unreviewed	Gem-associated protein 4	GEMIN4	Homo sapiens (Human)	1047
GEMIN4		I3L399	I3L399_HUMAN	unreviewed	Gem-associated protein 4 (Fragment)	GEMIN4	Homo sapiens (Human)	296
GEMIN4		I3L4A4	I3L4A4_HUMAN	unreviewed	Gem-associated protein 4 (Fragment)	GEMIN4	Homo sapiens (Human)	271
GEMIN4		I3L4M4	I3L4M4_HUMAN	unreviewed	Gem-associated protein 4 (Fragment)	GEMIN4	Homo sapiens (Human)	189
GEMIN4		P57678	GEMI4_HUMAN	reviewed	Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97)	GEMIN4	Homo sapiens (Human)	1058
GEMIN4		Q8WUM5	Q8WUM5_HUMAN	unreviewed	Gem (Nuclear organelle) associated protein 4	GEMIN4	Homo sapiens (Human)	1058
GOSR2		E7EQ34	E7EQ34_HUMAN	unreviewed	Golgi SNAP receptor complex member 2	GOSR2	Homo sapiens (Human)	232
GOSR2		I3L0K1	I3L0K1_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	199
GOSR2		I3L1K7	I3L1K7_HUMAN	unreviewed	Golgi SNAP receptor complex member 2	GOSR2	Homo sapiens (Human)	143
GOSR2		I3L3V4	I3L3V4_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	149
GOSR2		I3L4Z6	I3L4Z6_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Golgi SNAP receptor complex member 2, isoform CRA_c)	GOSR2 hCG_1993582	Homo sapiens (Human)	165
GOSR2		I3NI02	I3NI02_HUMAN	unreviewed	Golgi SNAP receptor complex member 2 (Fragment)	GOSR2	Homo sapiens (Human)	98
GOSR2		O14653	GOSR2_HUMAN	reviewed	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	Homo sapiens (Human)	212
H2AFX		P16104	H2AX_HUMAN	reviewed	Histone H2AX (H2a/x) (Histone H2A.X)	H2AFX H2AX	Homo sapiens (Human)	143
HERPUD1		A4UAE9	A4UAE9_HUMAN	unreviewed	Homocysteine-inducible endoplasmic reticulum stress-inducible ubiquitin-like domain member 1 protein	HERPUD1	Homo sapiens (Human)	275
HERPUD1		H3BP08	H3BP08_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Fragment)	HERPUD1	Homo sapiens (Human)	160
HERPUD1		H3BQM2	H3BQM2_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Fragment)	HERPUD1	Homo sapiens (Human)	226
HERPUD1		H3BRS4	H3BRS4_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein	HERPUD1	Homo sapiens (Human)	53
HERPUD1		H3BTA8	H3BTA8_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Fragment)	HERPUD1	Homo sapiens (Human)	109
HERPUD1		H3BTT7	H3BTT7_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Fragment)	HERPUD1	Homo sapiens (Human)	150
HERPUD1		H3BV54	H3BV54_HUMAN	unreviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Fragment)	HERPUD1	Homo sapiens (Human)	150
HERPUD1		Q15011	HERP1_HUMAN	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	HERPUD1 HERP KIAA0025 MIF1	Homo sapiens (Human)	391
HSP90B1		F8VPC7	F8VPC7_HUMAN	unreviewed	Endoplasmin	HSP90B1	Homo sapiens (Human)	53
HSP90B1		F8W026	F8W026_HUMAN	unreviewed	Endoplasmin (Fragment)	HSP90B1	Homo sapiens (Human)	48
HSP90B1		H0YIV0	H0YIV0_HUMAN	unreviewed	Endoplasmin (Fragment)	HSP90B1	Homo sapiens (Human)	147
HSP90B1		P14625	ENPL_HUMAN	reviewed	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 TRA1	Homo sapiens (Human)	803
HSP90B1		Q96GW1	Q96GW1_HUMAN	unreviewed	Endoplasmin (HSP90B1 protein)	HSP90B1	Homo sapiens (Human)	315
HSPA5		P11021	GRP78_HUMAN	reviewed	78 kDa glucose-regulated protein (GRP-78) (Endoplasmic reticulum lumenal Ca(2+)-binding protein grp78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP)	HSPA5 GRP78	Homo sapiens (Human)	654
HSPA9		D6RA73	D6RA73_HUMAN	unreviewed	Stress-70 protein, mitochondrial (Fragment)	HSPA9	Homo sapiens (Human)	62
HSPA9		D6RCD7	D6RCD7_HUMAN	unreviewed	Stress-70 protein, mitochondrial	HSPA9	Homo sapiens (Human)	42
HSPA9		D6RDH7	D6RDH7_HUMAN	unreviewed	Stress-70 protein, mitochondrial	HSPA9	Homo sapiens (Human)	38
HSPA9		D6RJI2	D6RJI2_HUMAN	unreviewed	Stress-70 protein, mitochondrial (Fragment)	HSPA9	Homo sapiens (Human)	95
HSPA9		H0Y8K0	H0Y8K0_HUMAN	unreviewed	Stress-70 protein, mitochondrial (Fragment)	HSPA9	Homo sapiens (Human)	100
