yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
BRCA1		A0A0G3FC22	A0A0G3FC22_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	210
BRCA1		A0A0G3FCF2	A0A0G3FCF2_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	57
BRCA1		A0A0K0PU86	A0A0K0PU86_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	259
BRCA1		A0A0K0PU93	A0A0K0PU93_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	103
BRCA1		A0A0K0PUK0	A0A0K0PUK0_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	239
BRCA1		A0A0K0QR99	A0A0K0QR99_HUMAN	unreviewed	Truncated breast cancer 1 (Truncated breast cancer type 1 susceptibility protein) (Fragment)	BRCA1	Homo sapiens (Human)	41
BRCA1		A0A0K0QRF6	A0A0K0QRF6_HUMAN	unreviewed	Truncated breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	108
BRCA1		A0A0N9E014	A0A0N9E014_HUMAN	unreviewed	BRCA1 (Fragment)	BRCA1	Homo sapiens (Human)	27
BRCA1		A0A0R9RX69	A0A0R9RX69_HUMAN	unreviewed	Early onset breast cancer 1 (Fragment)	BRCA1	Homo sapiens (Human)	29
BRCA1		A0A0U1RRA9	A0A0U1RRA9_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	798
BRCA1		A0A0U4JDF9	A0A0U4JDF9_HUMAN	unreviewed	Truncated BRCA1	BRCA1	Homo sapiens (Human)	21
BRCA1		A0A0U4JQJ0	A0A0U4JQJ0_HUMAN	unreviewed	Truncated BRCA1 (Fragment)	BRCA1	Homo sapiens (Human)	29
BRCA1		A0A140HIE5	A0A140HIE5_HUMAN	unreviewed	Breast cancer type 1 isoform 1 (Fragment)	BRCA1	Homo sapiens (Human)	29
BRCA1		A0A140HIE9	A0A140HIE9_HUMAN	unreviewed	Breast cancer type 1 (Fragment)	BRCA1	Homo sapiens (Human)	29
BRCA1		B7ZA85	B7ZA85_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (cDNA, FLJ79099, highly similar to Homo sapiens breast cancer 1, early onset (BRCA1), transcript variant BRCA1-delta 11b, mRNA) (Fragment)	BRCA1	Homo sapiens (Human)	572
BRCA1		C4PFY7	C4PFY7_HUMAN	unreviewed	BRCA1 (Fragment)	BRCA1	Homo sapiens (Human)	24
BRCA1		C6YB45	C6YB45_HUMAN	unreviewed	BRCA1 isoform E1aA-Delta 2-17 (Breast cancer type 1 susceptibility protein)	BRCA1	Homo sapiens (Human)	173
BRCA1		C6YB47	C6YB47_HUMAN	unreviewed	Breast and ovarian cancer sususceptibility protein	BRCA1	Homo sapiens (Human)	354
BRCA1		C9IZW4	C9IZW4_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	177
BRCA1		E7ENB7	E7ENB7_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	98
BRCA1		E7EQW4	E7EQW4_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	222
BRCA1		E7EUM2	E7EUM2_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	623
BRCA1		E7EWN5	E7EWN5_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	649
BRCA1		E9PC22	E9PC22_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein	BRCA1	Homo sapiens (Human)	59
BRCA1		E9PH68	E9PH68_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	622
BRCA1		G1UI37	G1UI37_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	23
BRCA1		G3XAC3	G3XAC3_HUMAN	unreviewed	Breast cancer 1, early onset, isoform CRA_l	BRCA1 hCG_16943	Homo sapiens (Human)	680
BRCA1		G4V4Z7	G4V4Z7_HUMAN	unreviewed	Breast cancer associated protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	45
BRCA1		G4V4Z8	G4V4Z8_HUMAN	unreviewed	Breast cancer associated protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	50
BRCA1		G4V500	G4V500_HUMAN	unreviewed	Breast cancer associated protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	45
BRCA1		G4V502	G4V502_HUMAN	unreviewed	Breast cancer associated protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	44
BRCA1		G4V503	G4V503_HUMAN	unreviewed	Breast cancer associated protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	46
BRCA1		G8I0D8	G8I0D8_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1	Homo sapiens (Human)	1863
BRCA1		H0Y850	H0Y850_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	242
BRCA1		H0Y881	H0Y881_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	266
BRCA1		H0Y8B8	H0Y8B8_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	498
BRCA1		H0Y8D8	H0Y8D8_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	319
BRCA1		H6TXS1	H6TXS1_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 6.3.2.-) (Fragment)	BRCA1	Homo sapiens (Human)	86
BRCA1		K4JTS0	K4JTS0_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	20
BRCA1		K4JUB1	K4JUB1_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	25
BRCA1		K4JUB6	K4JUB6_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	13
BRCA1		K4JWE8	K4JWE8_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	66
BRCA1		K4JXS7	K4JXS7_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	75
BRCA1		K4JXT2	K4JXT2_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	30
BRCA1		K4K7U9	K4K7U9_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	37
BRCA1		K4K7V3	K4K7V3_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	59
BRCA1		K7EJW3	K7EJW3_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein	BRCA1	Homo sapiens (Human)	96
BRCA1		K7EPC7	K7EPC7_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein	BRCA1	Homo sapiens (Human)	354
BRCA1		P38398	BRCA1_HUMAN	reviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
BRCA1		Q05BZ9	Q05BZ9_HUMAN	unreviewed	BRCA1 protein (Fragment)	BRCA1	Homo sapiens (Human)	657
BRCA1		Q3B890	Q3B890_HUMAN	unreviewed	BRCA1 protein (Fragment)	BRCA1	Homo sapiens (Human)	259
BRCA1		Q3B891	Q3B891_HUMAN	unreviewed	BRCA1 protein (Breast cancer type 1 susceptibility protein) (Fragment)	BRCA1	Homo sapiens (Human)	473
BRCA1		Q3LRH8	Q3LRH8_HUMAN	unreviewed	Breast cancer 1 early onset (Early onset breast cancer 1) (Fragment)	BRCA1	Homo sapiens (Human)	1822
BRCA1		Q3YB49	Q3YB49_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	39
BRCA1		Q3YB50	Q3YB50_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	35
BRCA1		Q3YB51	Q3YB51_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	37
BRCA1		Q3YB52	Q3YB52_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	33
BRCA1		Q3YB53	Q3YB53_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	39
BRCA1		Q4EW25	Q4EW25_HUMAN	unreviewed	Breast and ovarian cancer suseptibility protein variant (Fragment)	BRCA1	Homo sapiens (Human)	166
BRCA1		Q5U3B7	Q5U3B7_HUMAN	unreviewed	BRCA1 protein (Fragment)	BRCA1	Homo sapiens (Human)	624
BRCA1		Q5XLT4	Q5XLT4_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	1841
BRCA1		Q5YLB2	Q5YLB2_HUMAN	unreviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27)	BRCA1	Homo sapiens (Human)	1399
BRCA1		Q64FK1	Q64FK1_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	15
BRCA1		Q64FK2	Q64FK2_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	13
BRCA1		Q64FK3	Q64FK3_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 1 (Fragment)	BRCA1	Homo sapiens (Human)	91
BRCA1		Q6P671	Q6P671_HUMAN	unreviewed	BRCA1 protein (Fragment)	BRCA1	Homo sapiens (Human)	440
BRCA1		Q7KYU6	Q7KYU6_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	233
BRCA1		Q7Z606	Q7Z606_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	1141
BRCA1		Q8IU58	Q8IU58_HUMAN	unreviewed	Truncated breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	21
BRCA1		Q8IZK2	Q8IZK2_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	28
BRCA1		Q8IZK3	Q8IZK3_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	28
BRCA1		Q8IZK4	Q8IZK4_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	15
BRCA1		Q8IZT7	Q8IZT7_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein (Fragment)	BRCA1	Homo sapiens (Human)	28
BRCA1		Q92897	Q92897_HUMAN	unreviewed	BRCA1 (BRCA1 protein) (Fragment)	BRCA1	Homo sapiens (Human)	26
BRCA1		Q9NQR3	Q9NQR3_HUMAN	unreviewed	BRCAI (Breast and ovarian cancer susceptibility protein) (Fragment)	BRCA1	Homo sapiens (Human)	28
BRCA1		Q9UE29	Q9UE29_HUMAN	unreviewed	BRCA1 protein (Fragment)	BRCA1	Homo sapiens (Human)	29
BTG2		P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	158
BTG3		A0A0G2JRS5	A0A0G2JRS5_HUMAN	unreviewed	Protein BTG3 (Fragment)	BTG3	Homo sapiens (Human)	147
BTG3		A0A0G2JRT0	A0A0G2JRT0_HUMAN	unreviewed	Protein BTG3 (Fragment)	BTG3	Homo sapiens (Human)	103
BTG3		C9JLA2	C9JLA2_HUMAN	unreviewed	Protein BTG3 (Fragment)	BTG3	Homo sapiens (Human)	46
BTG3		Q14201	BTG3_HUMAN	reviewed	Protein BTG3 (Abundant in neuroepithelium area protein) (BTG family member 3) (Protein Tob5)	BTG3 ANA TOB5	Homo sapiens (Human)	252
BTG3		Q6IAU3	Q6IAU3_HUMAN	unreviewed	BTG family, member 3, isoform CRA_b (BTG3 protein) (cDNA FLJ75072, highly similar to Homo sapiens BTG family, member 3 (BTG3), mRNA)	BTG3 hCG_401161	Homo sapiens (Human)	252
CASP1		B4DVD8	B4DVD8_HUMAN	unreviewed	Caspase-1 (cDNA FLJ59442, highly similar to Caspase-1 (EC 3.4.22.36))	CASP1	Homo sapiens (Human)	301
CASP1		G3V169	G3V169_HUMAN	unreviewed	Caspase	CASP1 hCG_39362	Homo sapiens (Human)	367
CASP1		H0YEC7	H0YEC7_HUMAN	unreviewed	Caspase-1 (Fragment)	CASP1	Homo sapiens (Human)	236
CASP1		P29466	CASP1_HUMAN	reviewed	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	CASP1 IL1BC IL1BCE	Homo sapiens (Human)	404
CASP1		Q5FBZ0	Q5FBZ0_HUMAN	unreviewed	CASP1 nirs variant 1 (Caspase-1)	CASP1	Homo sapiens (Human)	110
CASP2		A0A087WYM1	A0A087WYM1_HUMAN	unreviewed	Caspase-2	CASP2	Homo sapiens (Human)	108
CASP2		A0A0S2Z3H1	A0A0S2Z3H1_HUMAN	unreviewed	Caspase 2 apoptosis-related cysteine peptidase isoform 1 (Fragment)	CASP2	Homo sapiens (Human)	452
CASP2		A0A0S2Z3I0	A0A0S2Z3I0_HUMAN	unreviewed	Caspase 2 apoptosis-related cysteine peptidase isoform 2	CASP2	Homo sapiens (Human)	81
CASP2		C9JRR9	C9JRR9_HUMAN	unreviewed	Caspase-2	CASP2	Homo sapiens (Human)	171
CASP2		P42575	CASP2_HUMAN	reviewed	Caspase-2 (CASP-2) (EC 3.4.22.55) (Neural precursor cell expressed developmentally down-regulated protein 2) (NEDD-2) (Protease ICH-1) [Cleaved into: Caspase-2 subunit p18; Caspase-2 subunit p13; Caspase-2 subunit p12]	CASP2 ICH1 NEDD2	Homo sapiens (Human)	452
CASP3		A8MVM1	A8MVM1_HUMAN	unreviewed	Caspase-3	CASP3	Homo sapiens (Human)	182
CASP3		C9JXR7	C9JXR7_HUMAN	unreviewed	Caspase-3 (Fragment)	CASP3	Homo sapiens (Human)	117
CASP3		P42574	CASP3_HUMAN	reviewed	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
CASP4		E9PMT1	E9PMT1_HUMAN	unreviewed	Caspase-4 (Fragment)	CASP4	Homo sapiens (Human)	147
CASP4		H0YD34	H0YD34_HUMAN	unreviewed	Caspase-4 (Fragment)	CASP4	Homo sapiens (Human)	72
CASP4		P49662	CASP4_HUMAN	reviewed	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit 1; Caspase-4 subunit 2]	CASP4 ICH2	Homo sapiens (Human)	377
CASP6		D6RBM3	D6RBM3_HUMAN	unreviewed	Caspase-6	CASP6	Homo sapiens (Human)	80
CASP6		D6RHU3	D6RHU3_HUMAN	unreviewed	Caspase-6 (Fragment)	CASP6	Homo sapiens (Human)	143
CASP6		P55212	CASP6_HUMAN	reviewed	Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11]	CASP6 MCH2	Homo sapiens (Human)	293
CASP7		A0A0A0MRL7	A0A0A0MRL7_HUMAN	unreviewed	Caspase-7	CASP7	Homo sapiens (Human)	388
CASP7		P55210	CASP7_HUMAN	reviewed	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
CASP7		Q5SVL2	Q5SVL2_HUMAN	unreviewed	Caspase-7 (Fragment)	CASP7	Homo sapiens (Human)	222
CASP8		A0A0A0MS31	A0A0A0MS31_HUMAN	unreviewed	Caspase-8	CASP8	Homo sapiens (Human)	278
CASP8		B5BU46	B5BU46_HUMAN	unreviewed	Caspase 8 isoform C	CASP8	Homo sapiens (Human)	464
CASP8		B6CGU5	B6CGU5_HUMAN	unreviewed	Caspase 8 splice variant	CASP8	Homo sapiens (Human)	395
CASP8		C9JB29	C9JB29_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	149
CASP8		E7EQ01	E7EQ01_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	116
CASP8		E7EQ06	E7EQ06_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	209
CASP8		E7ETB7	E7ETB7_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	198
CASP8		E7EVN1	E7EVN1_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	124
CASP8		F8WF39	F8WF39_HUMAN	unreviewed	Caspase-8	CASP8	Homo sapiens (Human)	58
CASP8		H7BZM4	H7BZM4_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	83
CASP8		H7C0E2	H7C0E2_HUMAN	unreviewed	Caspase-8 (Fragment)	CASP8	Homo sapiens (Human)	258
CASP8		K4FGA0	K4FGA0_HUMAN	unreviewed	Caspase-8 isoform 6 (Fragment)	Casp8	Homo sapiens (Human)	178
CASP8		Q14790	CASP8_HUMAN	reviewed	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
CASP8		Q6NVI2	Q6NVI2_HUMAN	unreviewed	CASP8 protein	CASP8	Homo sapiens (Human)	278
CASP9		A0A087WX72	A0A087WX72_HUMAN	unreviewed	Caspase-9 (Fragment)	CASP9	Homo sapiens (Human)	47
CASP9		F8VVS7	F8VVS7_HUMAN	unreviewed	Caspase	CASP9	Homo sapiens (Human)	421
CASP9		F8VWA5	F8VWA5_HUMAN	unreviewed	Caspase-9	CASP9	Homo sapiens (Human)	95
CASP9		H0Y3S8	H0Y3S8_HUMAN	unreviewed	Caspase-9 (Fragment)	CASP9	Homo sapiens (Human)	152
CASP9		H0Y6Y2	H0Y6Y2_HUMAN	unreviewed	Caspase-9 (Fragment)	CASP9	Homo sapiens (Human)	198
CASP9		P55211	CASP9_HUMAN	reviewed	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
CASP9		Q5JRU2	Q5JRU2_HUMAN	unreviewed	Caspase-9 (Fragment)	CASP9	Homo sapiens (Human)	266
CASP9		Q5JRU8	Q5JRU8_HUMAN	unreviewed	Caspase-9 (Fragment)	CASP9	Homo sapiens (Human)	254
CAV1		A0A024R757	A0A024R757_HUMAN	unreviewed	Caveolin	CAV1 hCG_39088	Homo sapiens (Human)	147
CAV1		C9JKI3	C9JKI3_HUMAN	unreviewed	Caveolin (Fragment)	CAV1	Homo sapiens (Human)	138
CAV1		E9PCT5	E9PCT5_HUMAN	unreviewed	Caveolin	CAV1	Homo sapiens (Human)	167
CAV1		F8WDM7	F8WDM7_HUMAN	unreviewed	Caveolin-1	CAV1	Homo sapiens (Human)	86
CAV1		L8EC89	L8EC89_HUMAN	unreviewed	Alternative protein CAV1	CAV1	Homo sapiens (Human)	67
CAV1		Q03135	CAV1_HUMAN	reviewed	Caveolin-1	CAV1 CAV	Homo sapiens (Human)	178
CAV1		Q2TNI1	Q2TNI1_HUMAN	unreviewed	Caveolin	CAV1 hCG_39088 tcag7.24	Homo sapiens (Human)	178
CCNA1		F6KX25	F6KX25_HUMAN	unreviewed	Cyclin A1 (Fragment)	CCNA1	Homo sapiens (Human)	41
CCNA1		P78396	CCNA1_HUMAN	reviewed	Cyclin-A1	CCNA1	Homo sapiens (Human)	465
CCND1		F5H437	F5H437_HUMAN	unreviewed	G1/S-specific cyclin-D1	CCND1	Homo sapiens (Human)	67
CCND1		P24385	CCND1_HUMAN	reviewed	G1/S-specific cyclin-D1 (B-cell lymphoma 1 protein) (BCL-1) (BCL-1 oncogene) (PRAD1 oncogene)	CCND1 BCL1 PRAD1	Homo sapiens (Human)	295
CCND1		Q5MGB2	Q5MGB2_HUMAN	unreviewed	Cyclin D1 (Fragment)	CCND1	Homo sapiens (Human)	23
CCND1		Q6FI00	Q6FI00_HUMAN	unreviewed	CCND1 protein (Cyclin D1 (PRAD1: parathyroid adenomatosis 1)) (Cyclin D1, isoform CRA_c) (cDNA, FLJ93625, Homo sapiens cyclin D1 (PRAD1: parathyroid adenomatosis 1) (CCND1),mRNA)	CCND1 hCG_2016647	Homo sapiens (Human)	295
CCND2		H0YGD4	H0YGD4_HUMAN	unreviewed	G1/S-specific cyclin-D2 (Fragment)	CCND2	Homo sapiens (Human)	170
CCND2		P30279	CCND2_HUMAN	reviewed	G1/S-specific cyclin-D2	CCND2	Homo sapiens (Human)	289
CD14		D6RD81	D6RD81_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	55
CD14		D6RFL4	D6RFL4_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	213
CD14		E7EVL5	E7EVL5_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Fragment)	CD14	Homo sapiens (Human)	81
CD14		F1C4A7	F1C4A7_HUMAN	unreviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)	CD14	Homo sapiens (Human)	375
CD14		P08571	CD14_HUMAN	reviewed	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	CD14	Homo sapiens (Human)	375
CD2		P06729	CD2_HUMAN	reviewed	T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	CD2 SRBC	Homo sapiens (Human)	351
CD2		Q53F96	Q53F96_HUMAN	unreviewed	CD2 antigen (P50), sheep red blood cell receptor (CD2 antigen (P50), sheep red blood cell receptor variant) (cDNA, FLJ94184, highly similar to Homo sapiens CD2 antigen (p50), sheep red blood cell receptor (CD2), mRNA) (Fragment)	CD2 hCG_39065	Homo sapiens (Human)	351
CD2		Q5JVN7	Q5JVN7_HUMAN	unreviewed	T-cell surface antigen CD2	CD2	Homo sapiens (Human)	133
CD38		H0Y950	H0Y950_HUMAN	unreviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (Fragment)	CD38	Homo sapiens (Human)	151
CD38		P28907	CD38_HUMAN	reviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPr hydrolase 1) (T10) (CD antigen CD38)	CD38	Homo sapiens (Human)	300
CD44		C0STK4	C0STK4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	40
CD44		C1PHC2	C1PHC2_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	42
CD44		C1PHC3	C1PHC3_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	45
CD44		C1PHC4	C1PHC4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	44
CD44		C1PHE6	C1PHE6_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	29
CD44		E9PKC6	E9PKC6_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	78
CD44		H0Y2P0	H0Y2P0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	287
CD44		H0Y5E4	H0Y5E4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	294
CD44		H0YCL4	H0YCL4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YCV9	H0YCV9_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YD13	H0YD13_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	206
CD44		H0YD17	H0YD17_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	229
CD44		H0YD90	H0YD90_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YDV8	H0YDV8_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	191
CD44		H0YDW7	H0YDW7_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	240
CD44		H0YDX6	H0YDX6_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	181
CD44		H0YE40	H0YE40_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	82
CD44		H0YEA1	H0YEA1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	193
CD44		H0YES0	H0YES0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	118
CD44		H0YEU1	H0YEU1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YEV3	H0YEV3_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	243
CD44		H0YF08	H0YF08_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	186
CD44		J3KN83	J3KN83_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	232
