yourlist:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	isomap:M20170427AAFB7E4D2F1D05654627429E83DA5CCEB41A64P	Entry	Entry name		Protein names	Gene names	Organism	Length
BRCA2		Q9H265	Q9H265_HUMAN	unreviewed	BRCA2 protein (Fragment)	BRCA2	Homo sapiens (Human)	58
BRCA2		Q9H4L2	Q9H4L2_HUMAN	unreviewed	Breast cancer 2 tumor suppressor (Fragment)	BRCA2	Homo sapiens (Human)	54
BRCA2		Q9H4L3	Q9H4L3_HUMAN	unreviewed	Breast and ovarian cancer susceptibility protein 2 (Breast cancer 2 tumor suppressor) (Fragment)	BRCA2	Homo sapiens (Human)	56
BUB1		A0JLU2	A0JLU2_HUMAN	unreviewed	BUB1 protein (Fragment)	BUB1	Homo sapiens (Human)	827
BUB1		C9IYH4	C9IYH4_HUMAN	unreviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (Fragment)	BUB1	Homo sapiens (Human)	56
BUB1		C9JQA4	C9JQA4_HUMAN	unreviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (Fragment)	BUB1	Homo sapiens (Human)	146
BUB1		C9JRC7	C9JRC7_HUMAN	unreviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (Fragment)	BUB1	Homo sapiens (Human)	134
BUB1		O43683	BUB1_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	Homo sapiens (Human)	1085
BUB1		Q9BXX5	Q9BXX5_HUMAN	unreviewed	Mitotic spindle checkpoint kinase (Fragment)	BUB1	Homo sapiens (Human)	47
CAPZB		B1AK85	B1AK85_HUMAN	unreviewed	F-actin-capping protein subunit beta (cDNA FLJ43095 fis, clone CORDB2000541, highly similar to F-actin capping protein subunit beta)	CAPZB	Homo sapiens (Human)	260
CAPZB		B1AK87	B1AK87_HUMAN	unreviewed	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a (F-actin-capping protein subunit beta)	CAPZB hCG_41078	Homo sapiens (Human)	260
CAPZB		B1AK88	B1AK88_HUMAN	unreviewed	Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_d (F-actin-capping protein subunit beta)	CAPZB hCG_41078	Homo sapiens (Human)	301
CAPZB		P47756	CAPZB_HUMAN	reviewed	F-actin-capping protein subunit beta (CapZ beta)	CAPZB	Homo sapiens (Human)	277
CAPZB		Q7L4N0	Q7L4N0_HUMAN	unreviewed	CAPZB protein (Fragment)	CAPZB	Homo sapiens (Human)	80
CCDC88A		A0A087WXD9	A0A087WXD9_HUMAN	unreviewed	Girdin	CCDC88A	Homo sapiens (Human)	741
CCDC88A		C9J225	C9J225_HUMAN	unreviewed	Girdin (Fragment)	CCDC88A	Homo sapiens (Human)	147
CCDC88A		H0Y470	H0Y470_HUMAN	unreviewed	Girdin (Fragment)	CCDC88A	Homo sapiens (Human)	888
CCDC88A		H0Y7K3	H0Y7K3_HUMAN	unreviewed	Girdin (Fragment)	CCDC88A	Homo sapiens (Human)	374
CCDC88A		H0Y7U8	H0Y7U8_HUMAN	unreviewed	Girdin (Fragment)	CCDC88A	Homo sapiens (Human)	736
CCDC88A		H7C2C6	H7C2C6_HUMAN	unreviewed	Girdin (Fragment)	CCDC88A	Homo sapiens (Human)	1202
CCDC88A		Q3V6T2	GRDN_HUMAN	reviewed	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	CCDC88A APE GRDN KIAA1212	Homo sapiens (Human)	1871
CCDC88A		Q6DCA5	Q6DCA5_HUMAN	unreviewed	CCDC88A protein (Fragment)	CCDC88A	Homo sapiens (Human)	887
CCDC88A		Q6PAV0	Q6PAV0_HUMAN	unreviewed	CCDC88A protein (Fragment)	CCDC88A	Homo sapiens (Human)	622
CCDC88A		Q86YH1	Q86YH1_HUMAN	unreviewed	CCDC88A protein (Fragment)	CCDC88A	Homo sapiens (Human)	501
CCNB2		H0YMP3	H0YMP3_HUMAN	unreviewed	G2/mitotic-specific cyclin-B2	CCNB2	Homo sapiens (Human)	270
CCNB2		H1UBN3	H1UBN3_HUMAN	unreviewed	Cyclin B2 (G2/mitotic-specific cyclin-B2)	CCNB2V CCNB2	Homo sapiens (Human)	374
CCNB2		O95067	CCNB2_HUMAN	reviewed	G2/mitotic-specific cyclin-B2	CCNB2	Homo sapiens (Human)	398
CD2AP		Q9Y5K6	CD2AP_HUMAN	reviewed	CD2-associated protein (Adapter protein CMS) (Cas ligand with multiple SH3 domains)	CD2AP	Homo sapiens (Human)	639
CDC27		E9PRZ6	E9PRZ6_HUMAN	unreviewed	Cell division cycle protein 27 homolog	CDC27	Homo sapiens (Human)	94
CDC27		F6QPS0	F6QPS0_HUMAN	unreviewed	Cell division cycle protein 27 homolog	CDC27	Homo sapiens (Human)	343
CDC27		G5EA36	G5EA36_HUMAN	unreviewed	Cell division cycle 27, isoform CRA_c (Cell division cycle protein 27 homolog)	CDC27 hCG_1993274	Homo sapiens (Human)	823
CDC27		I0EZ68	I0EZ68_HUMAN	unreviewed	Cell division cycle protein 27 (Fragment)	CDC27	Homo sapiens (Human)	103
CDC27		I0EZ72	I0EZ72_HUMAN	unreviewed	Cell division cycle protein 27 (Fragment)	CDC27	Homo sapiens (Human)	33
CDC27		I3L1K3	I3L1K3_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	59
CDC27		I3L225	I3L225_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	103
CDC27		I3L2Z8	I3L2Z8_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	86
CDC27		I3L328	I3L328_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	113
CDC27		I3L394	I3L394_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	163
CDC27		I3L3G1	I3L3G1_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	75
CDC27		I3L3H6	I3L3H6_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	233
CDC27		I3L3Y5	I3L3Y5_HUMAN	unreviewed	Cell division cycle protein 27 homolog (Fragment)	CDC27	Homo sapiens (Human)	33
CDC27		K7EMA6	K7EMA6_HUMAN	unreviewed	Cell division cycle protein 27 homolog	CDC27	Homo sapiens (Human)	52
CDC27		P30260	CDC27_HUMAN	reviewed	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824
CDC42		A0A024RAE4	A0A024RAE4_HUMAN	unreviewed	Cell division cycle 42 (GTP binding protein, 25kDa), isoform CRA_a	CDC42 hCG_1981007	Homo sapiens (Human)	191
CDC42		A0A024RAE6	A0A024RAE6_HUMAN	unreviewed	Cell division cycle 42 (GTP binding protein, 25kDa), isoform CRA_c	CDC42 hCG_1981007	Homo sapiens (Human)	191
CDC42		P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
CDC42		Q5JYX0	Q5JYX0_HUMAN	unreviewed	Cell division control protein 42 homolog (Fragment)	CDC42	Homo sapiens (Human)	136
CDC42BPA		A0A0A0MRJ0	A0A0A0MRJ0_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha	CDC42BPA	Homo sapiens (Human)	1699
CDC42BPA		A0A0A0MRJ1	A0A0A0MRJ1_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha	CDC42BPA	Homo sapiens (Human)	1018
CDC42BPA		B9EGA7	B9EGA7_HUMAN	unreviewed	CDC42BPA protein	CDC42BPA	Homo sapiens (Human)	1699
CDC42BPA		H0Y5V1	H0Y5V1_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha (Fragment)	CDC42BPA	Homo sapiens (Human)	1048
CDC42BPA		H0Y6R0	H0Y6R0_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha (Fragment)	CDC42BPA	Homo sapiens (Human)	546
CDC42BPA		H0Y6V3	H0Y6V3_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha (Fragment)	CDC42BPA	Homo sapiens (Human)	728
CDC42BPA		H0Y7V8	H0Y7V8_HUMAN	unreviewed	Serine/threonine-protein kinase MRCK alpha (Fragment)	CDC42BPA	Homo sapiens (Human)	984
CDC42BPA		Q5VT25	MRCKA_HUMAN	reviewed	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPA KIAA0451	Homo sapiens (Human)	1732
CDC42EP1		A0A024R1J3	A0A024R1J3_HUMAN	unreviewed	CDC42 effector protein (Rho GTPase binding) 1, isoform CRA_a	CDC42EP1 hCG_41837	Homo sapiens (Human)	384
CDC42EP1		B0QYC6	B0QYC6_HUMAN	unreviewed	Cdc42 effector protein 1 (Fragment)	CDC42EP1	Homo sapiens (Human)	48
CDC42EP1		B0QYC7	B0QYC7_HUMAN	unreviewed	Cdc42 effector protein 1 (Fragment)	CDC42EP1	Homo sapiens (Human)	60
CDC42EP1		B0QYC8	B0QYC8_HUMAN	unreviewed	Cdc42 effector protein 1 (Fragment)	CDC42EP1	Homo sapiens (Human)	70
CDC42EP1		Q00587	BORG5_HUMAN	reviewed	Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55)	CDC42EP1 BORG5 CEP1 MSE55	Homo sapiens (Human)	391
CDC42EP2		O14613	BORG1_HUMAN	reviewed	Cdc42 effector protein 2 (Binder of Rho GTPases 1)	CDC42EP2 BORG1 CEP2	Homo sapiens (Human)	210
CDC42EP4		B2R6D8	B2R6D8_HUMAN	unreviewed	CDC42 effector protein (Rho GTPase binding) 4, isoform CRA_a (cDNA FLJ14479 fis, clone MAMMA1002143, highly similar to Cdc42 effector protein 4 (Binder of Rho GTPases 4)) (cDNA, FLJ92905, Homo sapiens CDC42 effector protein (Rho GTPase binding) 4(CDC42EP4), mRNA)	CDC42EP4 hCG_27835	Homo sapiens (Human)	356
CDC42EP4		J3KRZ9	J3KRZ9_HUMAN	unreviewed	Cdc42 effector protein 4 (Fragment)	CDC42EP4	Homo sapiens (Human)	127
CDC42EP4		J3QQS6	J3QQS6_HUMAN	unreviewed	Cdc42 effector protein 4 (Fragment)	CDC42EP4	Homo sapiens (Human)	73
CDC42EP4		J3QR93	J3QR93_HUMAN	unreviewed	Cdc42 effector protein 4	CDC42EP4	Homo sapiens (Human)	79
CDC42EP4		Q9H3Q1	BORG4_HUMAN	reviewed	Cdc42 effector protein 4 (Binder of Rho GTPases 4)	CDC42EP4 BORG4 CEP4	Homo sapiens (Human)	356
CDK1		A0A024QZP7	A0A024QZP7_HUMAN	unreviewed	Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)	CDC2 CDK1 hCG_40242	Homo sapiens (Human)	297
CDK1		A0A087WZZ9	A0A087WZZ9_HUMAN	unreviewed	Cyclin-dependent kinase 1	CDK1	Homo sapiens (Human)	224
CDK1		E5RIU6	E5RIU6_HUMAN	unreviewed	Cyclin-dependent kinase 1 (Fragment)	CDK1	Homo sapiens (Human)	189
CDK1		P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
CDK5RAP2		A0A0A0MRG9	A0A0A0MRG9_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2	CDK5RAP2	Homo sapiens (Human)	1663
CDK5RAP2		A0A0C4ZLW1	A0A0C4ZLW1_HUMAN	unreviewed	CDK5RAP2 protein	CDK5RAP2	Homo sapiens (Human)	1893
CDK5RAP2		A6H8X1	A6H8X1_HUMAN	unreviewed	CDK5 regulatory subunit associated protein 2 (CDK5 regulatory subunit associated protein 2, isoform CRA_c)	CDK5RAP2 hCG_27455	Homo sapiens (Human)	1814
CDK5RAP2		B1AMJ5	B1AMJ5_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2 (Fragment)	CDK5RAP2	Homo sapiens (Human)	1287
CDK5RAP2		B7ZLE9	B7ZLE9_HUMAN	unreviewed	CDK5 regulatory subunit associated protein 2	CDK5RAP2	Homo sapiens (Human)	1814
CDK5RAP2		B9EG74	B9EG74_HUMAN	unreviewed	CDK5 regulatory subunit associated protein 2	CDK5RAP2	Homo sapiens (Human)	1892
CDK5RAP2		C9K0C9	C9K0C9_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2 (Fragment)	CDK5RAP2	Homo sapiens (Human)	133
CDK5RAP2		F8WBJ0	F8WBJ0_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2	CDK5RAP2	Homo sapiens (Human)	275
CDK5RAP2		F8WCI3	F8WCI3_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2	CDK5RAP2	Homo sapiens (Human)	749
CDK5RAP2		F8WF55	F8WF55_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2	CDK5RAP2	Homo sapiens (Human)	460
CDK5RAP2		Q05CZ3	Q05CZ3_HUMAN	unreviewed	CDK5RAP2 protein (Fragment)	CDK5RAP2	Homo sapiens (Human)	314
CDK5RAP2		Q5JTU8	Q5JTU8_HUMAN	unreviewed	CDK5 regulatory subunit-associated protein 2 (Fragment)	CDK5RAP2	Homo sapiens (Human)	903
CDK5RAP2		Q96SN8	CK5P2_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)	CDK5RAP2 CEP215 KIAA1633	Homo sapiens (Human)	1893
CENPE		A0A087X0P0	A0A087X0P0_HUMAN	unreviewed	Centromere-associated protein E	CENPE	Homo sapiens (Human)	2664
CENPE		D6RBW0	D6RBW0_HUMAN	unreviewed	Centromere-associated protein E (Fragment)	CENPE	Homo sapiens (Human)	1126
CENPE		D6RHK2	D6RHK2_HUMAN	unreviewed	Centromere-associated protein E (Fragment)	CENPE	Homo sapiens (Human)	183
CENPE		Q02224	CENPE_HUMAN	reviewed	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	Homo sapiens (Human)	2701
CENPF		A0A087WTY4	A0A087WTY4_HUMAN	unreviewed	Centromere protein F	CENPF	Homo sapiens (Human)	175
CENPF		P49454	CENPF_HUMAN	reviewed	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3210
CENPJ		F6VUX8	F6VUX8_HUMAN	unreviewed	Centromere protein J	CENPJ	Homo sapiens (Human)	1136
CENPJ		H0Y5L8	H0Y5L8_HUMAN	unreviewed	Centromere protein J (Fragment)	CENPJ	Homo sapiens (Human)	196
CENPJ		Q2KHM5	Q2KHM5_HUMAN	unreviewed	CENPJ protein	CENPJ	Homo sapiens (Human)	1136
CENPJ		Q569I1	Q569I1_HUMAN	unreviewed	CENPJ protein (Fragment)	CENPJ	Homo sapiens (Human)	375
CENPJ		Q9HC77	CENPJ_HUMAN	reviewed	Centromere protein J (CENP-J) (Centrosomal P4.1-associated protein) (LAG-3-associated protein) (LYST-interacting protein 1)	CENPJ CPAP LAP LIP1	Homo sapiens (Human)	1338
CEP192		A0A0A0MR42	A0A0A0MR42_HUMAN	unreviewed	Centrosomal protein of 192 kDa	CEP192	Homo sapiens (Human)	2062
CEP192		B7ZME9	B7ZME9_HUMAN	unreviewed	CEP192 protein	CEP192	Homo sapiens (Human)	2062
CEP192		C9JT09	C9JT09_HUMAN	unreviewed	Centrosomal protein of 192 kDa	CEP192	Homo sapiens (Human)	426
CEP192		H0Y966	H0Y966_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	1931
CEP192		H0Y9P3	H0Y9P3_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	407
CEP192		K7ELX0	K7ELX0_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	1237
CEP192		K7ENP4	K7ENP4_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	2076
CEP192		K7EPA2	K7EPA2_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	900
CEP192		K7EQZ8	K7EQZ8_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	47
CEP192		K7ERF9	K7ERF9_HUMAN	unreviewed	Centrosomal protein of 192 kDa (Fragment)	CEP192	Homo sapiens (Human)	73
CEP192		Q8TEP8	CE192_HUMAN	reviewed	Centrosomal protein of 192 kDa (Cep192)	CEP192 KIAA1569 PP8407	Homo sapiens (Human)	1941
CEP192		V9GYM2	V9GYM2_HUMAN	unreviewed	Centrosomal protein of 192 kDa	CEP192	Homo sapiens (Human)	70
CEP250		A0A087WZ34	A0A087WZ34_HUMAN	unreviewed	Centrosome-associated protein CEP250 (Fragment)	CEP250	Homo sapiens (Human)	34
CEP250		A6PVI9	A6PVI9_HUMAN	unreviewed	Centrosomal protein 250kDa (Centrosome-associated protein CEP250)	CEP250 RP3-477O4.2-006	Homo sapiens (Human)	339
CEP250		A6PVJ0	A6PVJ0_HUMAN	unreviewed	Centrosomal protein 250kDa (Fragment)	CEP250 RP3-477O4.2-010	Homo sapiens (Human)	209
CEP250		E7ETF9	E7ETF9_HUMAN	unreviewed	Centrosome-associated protein CEP250 (Fragment)	CEP250	Homo sapiens (Human)	684
CEP250		E9PHT2	E9PHT2_HUMAN	unreviewed	Centrosome-associated protein CEP250	CEP250	Homo sapiens (Human)	538
CEP250		G1UI40	G1UI40_HUMAN	unreviewed	Centrosomal protein 250kDa (Fragment)	CEP250	Homo sapiens (Human)	120
CEP250		H0Y5R2	H0Y5R2_HUMAN	unreviewed	Centrosome-associated protein CEP250 (Fragment)	CEP250	Homo sapiens (Human)	210
CEP250		H7C0D6	H7C0D6_HUMAN	unreviewed	Centrosome-associated protein CEP250 (Fragment)	CEP250	Homo sapiens (Human)	138
CEP250		H7C0P0	H7C0P0_HUMAN	unreviewed	Centrosome-associated protein CEP250 (Fragment)	CEP250	Homo sapiens (Human)	877
CEP250		Q5JWS5	Q5JWS5_HUMAN	unreviewed	Centrosomal protein 250kDa (Centrosome-associated protein CEP250) (Fragment)	CEP250 RP3-477O4.2-002	Homo sapiens (Human)	164
CEP250		Q5JWS6	Q5JWS6_HUMAN	unreviewed	Centrosomal protein 250kDa (Centrosome-associated protein CEP250) (Fragment)	CEP250 RP3-477O4.2-003	Homo sapiens (Human)	114
CEP250		Q6IPL3	Q6IPL3_HUMAN	unreviewed	CEP250 protein	CEP250	Homo sapiens (Human)	146
CEP250		Q9BV73	CP250_HUMAN	reviewed	Centrosome-associated protein CEP250 (250 kDa centrosomal protein) (Cep250) (Centrosomal Nek2-associated protein 1) (C-Nap1) (Centrosomal protein 2)	CEP250 CEP2 CNAP1	Homo sapiens (Human)	2442
CEP57		A0A024R3A1	A0A024R3A1_HUMAN	unreviewed	Centrosomal protein 57kDa, isoform CRA_a	CEP57 hCG_21455	Homo sapiens (Human)	500
CEP57		A0A024R3B1	A0A024R3B1_HUMAN	unreviewed	Centrosomal protein 57kDa, isoform CRA_b	CEP57 hCG_21455	Homo sapiens (Human)	351
CEP57		A0A024R3D1	A0A024R3D1_HUMAN	unreviewed	Centrosomal protein 57kDa, isoform CRA_c	CEP57 hCG_21455	Homo sapiens (Human)	474
CEP57		F5GXS6	F5GXS6_HUMAN	unreviewed	Centrosomal protein of 57 kDa	CEP57	Homo sapiens (Human)	71
CEP57		F5GYW0	F5GYW0_HUMAN	unreviewed	Centrosomal protein of 57 kDa	CEP57	Homo sapiens (Human)	473
CEP57		F5GZ93	F5GZ93_HUMAN	unreviewed	Centrosomal protein of 57 kDa	CEP57	Homo sapiens (Human)	52
CEP57		F5H0C6	F5H0C6_HUMAN	unreviewed	Centrosomal protein of 57 kDa (Fragment)	CEP57	Homo sapiens (Human)	198
CEP57		F5H1B0	F5H1B0_HUMAN	unreviewed	Centrosomal protein of 57 kDa (Fragment)	CEP57	Homo sapiens (Human)	205
CEP57		F5H6R3	F5H6R3_HUMAN	unreviewed	Centrosomal protein of 57 kDa	CEP57	Homo sapiens (Human)	82
CEP57		F5H7J4	F5H7J4_HUMAN	unreviewed	Centrosomal protein of 57 kDa	CEP57	Homo sapiens (Human)	41
CEP57		H0YFT8	H0YFT8_HUMAN	unreviewed	Centrosomal protein of 57 kDa (Fragment)	CEP57	Homo sapiens (Human)	254
CEP57		H0YGT4	H0YGT4_HUMAN	unreviewed	Centrosomal protein of 57 kDa (Fragment)	CEP57	Homo sapiens (Human)	134
CEP57		Q86XR8	CEP57_HUMAN	reviewed	Centrosomal protein of 57 kDa (Cep57) (FGF2-interacting protein) (Testis-specific protein 57) (Translokin)	CEP57 KIAA0092 TSP57	Homo sapiens (Human)	500
CEP72		A0A024QYZ9	A0A024QYZ9_HUMAN	unreviewed	Centrosomal protein 72kDa, isoform CRA_b	CEP72 hCG_17065	Homo sapiens (Human)	647
CEP72		A0A0G2JR44	A0A0G2JR44_HUMAN	unreviewed	Centrosomal protein of 72 kDa (Fragment)	CEP72	Homo sapiens (Human)	170
CEP72		Q9P209	CEP72_HUMAN	reviewed	Centrosomal protein of 72 kDa (Cep72)	CEP72 KIAA1519	Homo sapiens (Human)	647
CKAP5		E9PQH5	E9PQH5_HUMAN	unreviewed	Cytoskeleton-associated protein 5 (Fragment)	CKAP5	Homo sapiens (Human)	151
CKAP5		H0YCF6	H0YCF6_HUMAN	unreviewed	Cytoskeleton-associated protein 5 (Fragment)	CKAP5	Homo sapiens (Human)	166
CKAP5		H0YDX5	H0YDX5_HUMAN	unreviewed	Cytoskeleton-associated protein 5 (Fragment)	CKAP5	Homo sapiens (Human)	203
CKAP5		H0YEK7	H0YEK7_HUMAN	unreviewed	Cytoskeleton-associated protein 5 (Fragment)	CKAP5	Homo sapiens (Human)	190
CKAP5		Q14008	CKAP5_HUMAN	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	Homo sapiens (Human)	2032
CKAP5		Q8IYN5	Q8IYN5_HUMAN	unreviewed	CKAP5 protein	CKAP5	Homo sapiens (Human)	953
CLASP1		C9J151	C9J151_HUMAN	unreviewed	CLIP-associating protein 1 (Fragment)	CLASP1	Homo sapiens (Human)	150
CLASP1		C9JP76	C9JP76_HUMAN	unreviewed	CLIP-associating protein 1 (Fragment)	CLASP1	Homo sapiens (Human)	110
CLASP1		F8WA11	F8WA11_HUMAN	unreviewed	CLIP-associating protein 1	CLASP1	Homo sapiens (Human)	1478
CLASP1		H0Y5T1	H0Y5T1_HUMAN	unreviewed	CLIP-associating protein 1 (Fragment)	CLASP1	Homo sapiens (Human)	1275
CLASP1		Q7Z460	CLAP1_HUMAN	reviewed	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1) (Multiple asters homolog 1) (Protein Orbit homolog 1) (hOrbit1)	CLASP1 KIAA0622 MAST1	Homo sapiens (Human)	1538
CLIP1		F5H0N7	F5H0N7_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1	CLIP1	Homo sapiens (Human)	1013
CLIP1		F5H1T5	F5H1T5_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1	CLIP1	Homo sapiens (Human)	350
CLIP1		F5H270	F5H270_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1 (Fragment)	CLIP1	Homo sapiens (Human)	108
CLIP1		F5H367	F5H367_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1 (Fragment)	CLIP1	Homo sapiens (Human)	83
CLIP1		F5H6A0	F5H6A0_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1 (Fragment)	CLIP1	Homo sapiens (Human)	803
CLIP1		F5H6H4	F5H6H4_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1	CLIP1	Homo sapiens (Human)	117
CLIP1		F6VGP8	F6VGP8_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1 (Fragment)	CLIP1	Homo sapiens (Human)	428
CLIP1		J3KP58	J3KP58_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 1	CLIP1	Homo sapiens (Human)	1316
CLIP1		P30622	CLIP1_HUMAN	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
CLIP1		Q6P5Z9	Q6P5Z9_HUMAN	unreviewed	CLIP1 protein (Fragment)	CLIP1	Homo sapiens (Human)	653
CLIP1		Q86WU4	Q86WU4_HUMAN	unreviewed	CLIP1 protein (Fragment)	CLIP1	Homo sapiens (Human)	449
CLIP2		A7E2F7	A7E2F7_HUMAN	unreviewed	CAP-GLY domain containing linker protein 2 (Cytoplasmic linker 2, isoform CRA_a)	CLIP2 CYLN2 hCG_18038	Homo sapiens (Human)	1011
CLIP2		H7C4L6	H7C4L6_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 2 (Fragment)	CLIP2	Homo sapiens (Human)	187
CLIP2		H7C5H8	H7C5H8_HUMAN	unreviewed	CAP-Gly domain-containing linker protein 2 (Fragment)	CLIP2	Homo sapiens (Human)	28
CLIP2		Q9UDT6	CLIP2_HUMAN	reviewed	CAP-Gly domain-containing linker protein 2 (Cytoplasmic linker protein 115) (CLIP-115) (Cytoplasmic linker protein 2) (Williams-Beuren syndrome chromosomal region 3 protein) (Williams-Beuren syndrome chromosomal region 4 protein)	CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4	Homo sapiens (Human)	1046
CNTRL		Q5JVD1	Q5JVD1_HUMAN	unreviewed	Centriolin	CNTRL	Homo sapiens (Human)	994
CNTRL		Q5JVD3	Q5JVD3_HUMAN	unreviewed	Centriolin	CNTRL	Homo sapiens (Human)	460
CNTRL		Q5JVD5	Q5JVD5_HUMAN	unreviewed	Centriolin	CNTRL	Homo sapiens (Human)	145
CNTRL		Q5JVD6	Q5JVD6_HUMAN	unreviewed	Centriolin (Fragment)	CNTRL	Homo sapiens (Human)	346
CNTRL		Q7Z7A1	CNTRL_HUMAN	reviewed	Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)	CNTRL CEP1 CEP110	Homo sapiens (Human)	2325
CNTROB		I3L0P9	I3L0P9_HUMAN	unreviewed	Centrobin (Fragment)	CNTROB	Homo sapiens (Human)	187
CNTROB		I3L1A6	I3L1A6_HUMAN	unreviewed	Centrobin (Fragment)	CNTROB	Homo sapiens (Human)	242
CNTROB		I3L1B0	I3L1B0_HUMAN	unreviewed	Centrobin (Fragment)	CNTROB	Homo sapiens (Human)	199
CNTROB		I3L1E9	I3L1E9_HUMAN	unreviewed	Centrobin (Fragment)	CNTROB	Homo sapiens (Human)	26
