yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC1491	Entry	Entry name		Protein names	Gene names	Organism	Length
ALDH3A1		C9JMC5	C9JMC5_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	ALDH3A1	Homo sapiens (Human)	372
ALDH3A1		E9PNN6	E9PNN6_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring	ALDH3A1	Homo sapiens (Human)	396
ALDH3A1		I3L1H6	I3L1H6_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	ALDH3A1	Homo sapiens (Human)	131
ALDH3A1		I3L3I9	I3L3I9_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring	ALDH3A1	Homo sapiens (Human)	380
ALDH3A1		I3L3W9	I3L3W9_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	ALDH3A1	Homo sapiens (Human)	74
ALDH3A1		I3L4E5	I3L4E5_HUMAN	unreviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	ALDH3A1	Homo sapiens (Human)	119
ALDH3A1		P30838	AL3A1_HUMAN	reviewed	Aldehyde dehydrogenase, dimeric NADP-preferring (EC 1.2.1.5) (ALDHIII) (Aldehyde dehydrogenase 3) (Aldehyde dehydrogenase family 3 member A1)	ALDH3A1 ALDH3	Homo sapiens (Human)	453
ALDH3A1		Q6PKA6	Q6PKA6_HUMAN	unreviewed	ALDH3A1 protein (Fragment)	ALDH3A1	Homo sapiens (Human)	512
ALDH3A2		C9JGJ2	C9JGJ2_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	166
ALDH3A2		I3L0X1	I3L0X1_HUMAN	unreviewed	Fatty aldehyde dehydrogenase	ALDH3A2	Homo sapiens (Human)	182
ALDH3A2		I3L1M4	I3L1M4_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	162
ALDH3A2		I3L2W1	I3L2W1_HUMAN	unreviewed	Fatty aldehyde dehydrogenase	ALDH3A2	Homo sapiens (Human)	97
ALDH3A2		I3L4G6	I3L4G6_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	85
ALDH3A2		J3KTD9	J3KTD9_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	62
ALDH3A2		J3KTG1	J3KTG1_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	146
ALDH3A2		J3QKK9	J3QKK9_HUMAN	unreviewed	Fatty aldehyde dehydrogenase	ALDH3A2	Homo sapiens (Human)	54
ALDH3A2		J3QQV9	J3QQV9_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	58
ALDH3A2		J3QRD1	J3QRD1_HUMAN	unreviewed	Fatty aldehyde dehydrogenase	ALDH3A2	Homo sapiens (Human)	393
ALDH3A2		J3QS00	J3QS00_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	134
ALDH3A2		K7EN73	K7EN73_HUMAN	unreviewed	Fatty aldehyde dehydrogenase (Fragment)	ALDH3A2	Homo sapiens (Human)	126
ALDH3A2		P51648	AL3A2_HUMAN	reviewed	Fatty aldehyde dehydrogenase (EC 1.2.1.3) (Aldehyde dehydrogenase 10) (Aldehyde dehydrogenase family 3 member A2) (Microsomal aldehyde dehydrogenase)	ALDH3A2 ALDH10 FALDH	Homo sapiens (Human)	485
ALDH9A1		B9EKV4	B9EKV4_HUMAN	unreviewed	Aldehyde dehydrogenase 9 family, member A1	ALDH9A1 hCG_21745	Homo sapiens (Human)	518
ALDH9A1		P49189	AL9A1_HUMAN	reviewed	4-trimethylaminobutyraldehyde dehydrogenase (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]	ALDH9A1 ALDH4 ALDH7 ALDH9	Homo sapiens (Human)	494
ALDOA		A0A0M4FNU3	A0A0M4FNU3_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment)	ALDOA	Homo sapiens (Human)	294
ALDOA		A0A1B0GW02	A0A1B0GW02_HUMAN	unreviewed	Fructose-bisphosphate aldolase A	ALDOA	Homo sapiens (Human)	139
ALDOA		H3BMQ8	H3BMQ8_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	140
ALDOA		H3BPS8	H3BPS8_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	278
ALDOA		H3BQN4	H3BQN4_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOA	Homo sapiens (Human)	361
ALDOA		H3BR04	H3BR04_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	162
ALDOA		H3BR68	H3BR68_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	130
ALDOA		H3BU78	H3BU78_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment)	ALDOA	Homo sapiens (Human)	204
ALDOA		H3BUH7	H3BUH7_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	155
ALDOA		H3BUK5	H3BUK5_HUMAN	unreviewed	Fructose-bisphosphate aldolase A (Fragment)	ALDOA	Homo sapiens (Human)	12
ALDOA		J3KPS3	J3KPS3_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	ALDOA hCG_1811258	Homo sapiens (Human)	368
ALDOA		P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
ALDOA		V9HWN7	V9HWN7_HUMAN	unreviewed	Fructose-bisphosphate aldolase (EC 4.1.2.13)	HEL-S-87p ALDOA hCG_1811258	Homo sapiens (Human)	364
AOC3		K7EIK5	K7EIK5_HUMAN	unreviewed	Amine oxidase (EC 1.4.3.-) (Fragment)	AOC3	Homo sapiens (Human)	144
AOC3		K7EL47	K7EL47_HUMAN	unreviewed	Amine oxidase (EC 1.4.3.-) (Fragment)	AOC3	Homo sapiens (Human)	152
AOC3		K7EQZ5	K7EQZ5_HUMAN	unreviewed	Amine oxidase (EC 1.4.3.-) (Fragment)	AOC3	Homo sapiens (Human)	112
AOC3		Q16853	AOC3_HUMAN	reviewed	Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1)	AOC3 VAP1	Homo sapiens (Human)	763
APEX1		A0A0C4DGK8	A0A0C4DGK8_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	146
APEX1		G3V2D9	G3V2D9_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase	APEX1	Homo sapiens (Human)	49
APEX1		G3V359	G3V359_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	172
APEX1		G3V3C7	G3V3C7_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	174
APEX1		G3V3M6	G3V3M6_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	263
APEX1		G3V3Y6	G3V3Y6_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (Fragment)	APEX1	Homo sapiens (Human)	41
APEX1		G3V574	G3V574_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase	APEX1	Homo sapiens (Human)	14
APEX1		G3V5D9	G3V5D9_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (Fragment)	APEX1	Homo sapiens (Human)	107
APEX1		G3V5M0	G3V5M0_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	162
APEX1		G3V5Q1	G3V5Q1_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	242
APEX1		H7C4A8	H7C4A8_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Fragment)	APEX1	Homo sapiens (Human)	150
APEX1		P27695	APEX1_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]	APEX1 APE APE1 APEX APX HAP1 REF1	Homo sapiens (Human)	318
APEX1		Q5TZP7	Q5TZP7_HUMAN	unreviewed	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)	APEX1 hCG_40473	Homo sapiens (Human)	318
AQP7		A0A096LNK2	A0A096LNK2_HUMAN	unreviewed	Aquaporin-7 (Fragment)	AQP7	Homo sapiens (Human)	80
AQP7		A0A096LNN5	A0A096LNN5_HUMAN	unreviewed	Aquaporin-7	AQP7	Homo sapiens (Human)	41
AQP7		A0A096LNU3	A0A096LNU3_HUMAN	unreviewed	Aquaporin-7	AQP7	Homo sapiens (Human)	51
AQP7		A0A096LNV7	A0A096LNV7_HUMAN	unreviewed	Aquaporin-7 (Fragment)	AQP7	Homo sapiens (Human)	50
AQP7		A0A096LP23	A0A096LP23_HUMAN	unreviewed	Aquaporin-7	AQP7	Homo sapiens (Human)	85
AQP7		A0A096LP64	A0A096LP64_HUMAN	unreviewed	Aquaporin-7	AQP7	Homo sapiens (Human)	84
AQP7		B7Z4U2	B7Z4U2_HUMAN	unreviewed	Aquaporin-7 (cDNA FLJ60727, highly similar to Aquaporin-7)	AQP7	Homo sapiens (Human)	257
AQP7		O14520	AQP7_HUMAN	reviewed	Aquaporin-7 (AQP-7) (Aquaglyceroporin-7) (Aquaporin adipose) (AQPap) (Aquaporin-7-like)	AQP7 AQP7L AQP9	Homo sapiens (Human)	342
AQP7		Q5T5L3	Q5T5L3_HUMAN	unreviewed	Aquaporin-7 (Fragment)	AQP7	Homo sapiens (Human)	169
AQP7		Q5T5M0	Q5T5M0_HUMAN	unreviewed	Aquaporin-7 (cDNA FLJ52444, highly similar to Aquaporin-7)	AQP7	Homo sapiens (Human)	256
AQP7		Q5T5M1	Q5T5M1_HUMAN	unreviewed	Aquaporin-7	AQP7	Homo sapiens (Human)	341
AQP7		Q6P5T0	Q6P5T0_HUMAN	unreviewed	AQP7 protein (Aquaporin 7, isoform CRA_b) (Aquaporin-7)	AQP7 hCG_2011318	Homo sapiens (Human)	216
AUH		Q13825	AUHM_HUMAN	reviewed	Methylglutaconyl-CoA hydratase, mitochondrial (EC 4.2.1.18) (AU-specific RNA-binding enoyl-CoA hydratase) (AU-binding protein/enoyl-CoA hydratase)	AUH	Homo sapiens (Human)	339
BCKDHB		A0A0K2GN21	A0A0K2GN21_HUMAN	unreviewed	BCKDHB protein	BCKDHB	Homo sapiens (Human)	392
BCKDHB		P21953	ODBB_HUMAN	reviewed	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta)	BCKDHB	Homo sapiens (Human)	392
BLVRA		C9J1E1	C9J1E1_HUMAN	unreviewed	Biliverdin reductase A (Fragment)	BLVRA	Homo sapiens (Human)	102
BLVRA		P53004	BIEA_HUMAN	reviewed	Biliverdin reductase A (BVR A) (EC 1.3.1.24) (Biliverdin-IX alpha-reductase)	BLVRA BLVR BVR	Homo sapiens (Human)	296
BMPR1B		D6RAW8	D6RAW8_HUMAN	unreviewed	Bone morphogenetic protein receptor type-1B	BMPR1B	Homo sapiens (Human)	114
BMPR1B		D6RGW8	D6RGW8_HUMAN	unreviewed	Bone morphogenetic protein receptor type-1B (Fragment)	BMPR1B	Homo sapiens (Human)	125
BMPR1B		O00238	BMR1B_HUMAN	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502
BPHL		A0A024QZY0	A0A024QZY0_HUMAN	unreviewed	Biphenyl hydrolase-like (Serine hydrolase breast epithelial mucin-associated antigen), isoform CRA_d	BPHL hCG_22877	Homo sapiens (Human)	274
BPHL		B4DML3	B4DML3_HUMAN	unreviewed	Valacyclovir hydrolase (cDNA FLJ58913, highly similar to Valacyclovir hydrolase (EC 3.1.-.-))	BPHL	Homo sapiens (Human)	211
BPHL		F2Z2Q1	F2Z2Q1_HUMAN	unreviewed	Valacyclovir hydrolase	BPHL	Homo sapiens (Human)	44
BPHL		H7C0M3	H7C0M3_HUMAN	unreviewed	Valacyclovir hydrolase (Fragment)	BPHL	Homo sapiens (Human)	29
BPHL		Q49AI2	Q49AI2_HUMAN	unreviewed	BPHL protein (Biphenyl hydrolase-like (Serine hydrolase breast epithelial mucin-associated antigen), isoform CRA_a) (Valacyclovir hydrolase)	BPHL hCG_22877	Homo sapiens (Human)	194
BPHL		Q86WA6	BPHL_HUMAN	reviewed	Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA)	BPHL MCNAA	Homo sapiens (Human)	291
CA2		E5RID5	E5RID5_HUMAN	unreviewed	Carbonic anhydrase 2	CA2	Homo sapiens (Human)	97
CA2		E5RK37	E5RK37_HUMAN	unreviewed	Carbonic anhydrase 2	CA2	Homo sapiens (Human)	101
CA2		P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	Homo sapiens (Human)	260
CA4		K7EIH9	K7EIH9_HUMAN	unreviewed	Carbonic anhydrase 4 (Fragment)	CA4	Homo sapiens (Human)	99
CA4		K7EKY5	K7EKY5_HUMAN	unreviewed	Carbonic anhydrase 4 (Fragment)	CA4	Homo sapiens (Human)	184
CA4		K7ENI8	K7ENI8_HUMAN	unreviewed	Carbonic anhydrase 4 (Fragment)	CA4	Homo sapiens (Human)	38
CA4		P22748	CAH4_HUMAN	reviewed	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	CA4	Homo sapiens (Human)	312
CA6		F8W148	F8W148_HUMAN	unreviewed	Carbonic anhydrase 6 (Fragment)	CA6	Homo sapiens (Human)	187
CA6		P23280	CAH6_HUMAN	reviewed	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	CA6	Homo sapiens (Human)	308
CA6		Q5FBW4	Q5FBW4_HUMAN	unreviewed	Carbonic anhydrase VI nirs variant 2	CA6	Homo sapiens (Human)	57
CA6		Q8N4G4	Q8N4G4_HUMAN	unreviewed	CA6 protein (Carbonic anhydrase 6)	CA6	Homo sapiens (Human)	179
CBR1		A8MTM1	A8MTM1_HUMAN	unreviewed	Carbonyl reductase [NADPH] 1	CBR1	Homo sapiens (Human)	222
CBR1		E9PQ63	E9PQ63_HUMAN	unreviewed	Carbonyl reductase [NADPH] 1	CBR1	Homo sapiens (Human)	178
CBR1		P16152	CBR1_HUMAN	reviewed	Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.197) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)	CBR1 CBR CRN SDR21C1	Homo sapiens (Human)	277
CBR3		O75828	CBR3_HUMAN	reviewed	Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 3) (Short chain dehydrogenase/reductase family 21C member 2)	CBR3	Homo sapiens (Human)	277
CCDC58		C9JBU9	C9JBU9_HUMAN	unreviewed	Coiled-coil domain-containing protein 58	CCDC58	Homo sapiens (Human)	53
CCDC58		C9JQ41	C9JQ41_HUMAN	unreviewed	Coiled-coil domain-containing protein 58	CCDC58	Homo sapiens (Human)	130
CCDC58		H7C525	H7C525_HUMAN	unreviewed	Coiled-coil domain-containing protein 58 (Fragment)	CCDC58	Homo sapiens (Human)	141
CCDC58		Q4VC31	CCD58_HUMAN	reviewed	Coiled-coil domain-containing protein 58	CCDC58	Homo sapiens (Human)	144
CD1D		P15813	CD1D_HUMAN	reviewed	Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d)	CD1D	Homo sapiens (Human)	335
CD1D		X2F926	X2F926_HUMAN	unreviewed	CD1d (Fragment)	CD1d	Homo sapiens (Human)	70
CD1D		X2GFG1	X2GFG1_HUMAN	unreviewed	CD1d (Fragment)	CD1D	Homo sapiens (Human)	70
CD36		A0A0A1EAI1	A0A0A1EAI1_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0A1ED81	A0A0A1ED81_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	127
CD36		A0A0G3VPD9	A0A0G3VPD9_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	103
CD36		A0A0G3VQ57	A0A0G3VQ57_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0G3VR70	A0A0G3VR70_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	102
CD36		A0A0G3VRE1	A0A0G3VRE1_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	97
CD36		A0A0G3VSQ7	A0A0G3VSQ7_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0H3WBE8	A0A0H3WBE8_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	72
CD36		A0A0H3WC42	A0A0H3WC42_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	102
CD36		A0A0H3WDH4	A0A0H3WDH4_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	109
CD36		A0A0H3WDK6	A0A0H3WDK6_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	93
CD36		A0A0H3WE82	A0A0H3WE82_HUMAN	unreviewed	Thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	71
CD36		A0A0S2Z3J6	A0A0S2Z3J6_HUMAN	unreviewed	CD36 molecule isoform 3	CD36	Homo sapiens (Human)	93
CD36		A0A0S2Z452	A0A0S2Z452_HUMAN	unreviewed	CD36 molecule isoform 2	CD36	Homo sapiens (Human)	100
CD36		A4D1B1	A4D1B1_HUMAN	unreviewed	CD36 antigen (Collagen type I receptor, thrombospondin receptor) (CD36 antigen (Collagen type I receptor, thrombospondin receptor), isoform CRA_a) (CD36 molecule isoform 1) (cDNA, FLJ93369, highly similar to Homo sapiens CD36 antigen (collagen type I receptor, thrombospondinreceptor) (CD36), mRNA)	CD36 hCG_17062 tcag7.257	Homo sapiens (Human)	472
CD36		D9IX63	D9IX63_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		D9IX64	D9IX64_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		D9IX65	D9IX65_HUMAN	unreviewed	Platelet glycoprotein IV variant	CD36	Homo sapiens (Human)	472
CD36		E7ERZ9	E7ERZ9_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	143
CD36		E7EU05	E7EU05_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	463
CD36		E7EVU1	E7EVU1_HUMAN	unreviewed	Platelet glycoprotein 4	CD36	Homo sapiens (Human)	99
CD36		E7EWI4	E7EWI4_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	148
CD36		E7EX47	E7EX47_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	203
CD36		E9PC45	E9PC45_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	93
CD36		E9PJX8	E9PJX8_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	65
CD36		E9PLT1	E9PLT1_HUMAN	unreviewed	Platelet glycoprotein 4	CD36	Homo sapiens (Human)	396
CD36		H0YEE7	H0YEE7_HUMAN	unreviewed	Platelet glycoprotein 4 (Fragment)	CD36	Homo sapiens (Human)	66
CD36		P16671	CD36_HUMAN	reviewed	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	CD36 GP3B GP4	Homo sapiens (Human)	472
CD36		Q13965	Q13965_HUMAN	unreviewed	CD36 antigen (Fragment)	CD36	Homo sapiens (Human)	43
CD36		V5M404	V5M404_HUMAN	unreviewed	Mutant thrombospondin receptor (Fragment)	CD36	Homo sapiens (Human)	33
CEL		P19835	CEL_HUMAN	reviewed	Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase)	CEL BAL	Homo sapiens (Human)	753
CEL		Q14018	Q14018_HUMAN	unreviewed	Bile salt-activated lipase (Carboxyl ester lipase (Bile salt-stimulated lipase), isoform CRA_a) (Carboxyl ester lipase-like protein)	CELL CEL hCG_2032990	Homo sapiens (Human)	59
CEL		X6R868	X6R868_HUMAN	unreviewed	Bile salt-activated lipase	CEL	Homo sapiens (Human)	756
CIDEA		E5RJ03	E5RJ03_HUMAN	unreviewed	Cell death activator CIDE-A	CIDEA	Homo sapiens (Human)	200
CIDEA		O60543	CIDEA_HUMAN	reviewed	Cell death activator CIDE-A (Cell death-inducing DFFA-like effector A)	CIDEA	Homo sapiens (Human)	219
CIDEA		Q8N5P9	Q8N5P9_HUMAN	unreviewed	Cell death activator CIDE-A variant 2 (Cell death-inducing DFFA-like effector a)	CIDEA	Homo sapiens (Human)	253
CPOX		D6RER6	D6RER6_HUMAN	unreviewed	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	CPOX	Homo sapiens (Human)	175
CPOX		H0YA22	H0YA22_HUMAN	unreviewed	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (Fragment)	CPOX	Homo sapiens (Human)	70
CPOX		P36551	HEM6_HUMAN	reviewed	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	CPOX CPO CPX	Homo sapiens (Human)	454
CPT1A		A0A024R5F4	A0A024R5F4_HUMAN	unreviewed	Carnitine palmitoyltransferase 1A (Liver), isoform CRA_a	CPT1A hCG_2039450	Homo sapiens (Human)	773
CPT1A		H3BMD2	H3BMD2_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	Homo sapiens (Human)	78
CPT1A		H3BP22	H3BP22_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)	CPT1A	Homo sapiens (Human)	117
CPT1A		H3BUJ0	H3BUJ0_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)	CPT1A	Homo sapiens (Human)	93
CPT1A		H3BUV7	H3BUV7_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 1, liver isoform (Fragment)	CPT1A	Homo sapiens (Human)	134
CPT1A		P50416	CPT1A_HUMAN	reviewed	Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)	CPT1A CPT1	Homo sapiens (Human)	773
CPT1A		Q8WZ48	Q8WZ48_HUMAN	unreviewed	Carnitine palmitoyltransferase I (Fragment)	CPT1A	Homo sapiens (Human)	28
CPT2		A0A1B0GTB8	A0A1B0GTB8_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	635
CPT2		A0A1B0GTL9	A0A1B0GTL9_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	54
CPT2		A0A1B0GTM0	A0A1B0GTM0_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	223
CPT2		A0A1B0GUB8	A0A1B0GUB8_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	72
CPT2		A0A1B0GUD9	A0A1B0GUD9_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	81
CPT2		A0A1B0GV75	A0A1B0GV75_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	598
CPT2		A0A1B0GVF3	A0A1B0GVF3_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	670
CPT2		A0A1B0GWC0	A0A1B0GWC0_HUMAN	unreviewed	Carnitine O-palmitoyltransferase 2, mitochondrial	CPT2	Homo sapiens (Human)	647
CPT2		P23786	CPT2_HUMAN	reviewed	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)	CPT2 CPT1	Homo sapiens (Human)	658
CRAT		A6PVN3	A6PVN3_HUMAN	unreviewed	Carnitine O-acetyltransferase	CRAT	Homo sapiens (Human)	161
CRAT		B7ZBP5	B7ZBP5_HUMAN	unreviewed	Carnitine O-acetyltransferase (Fragment)	CRAT	Homo sapiens (Human)	98
CRAT		F2Z2C5	F2Z2C5_HUMAN	unreviewed	Carnitine O-acetyltransferase	CRAT	Homo sapiens (Human)	40
CRAT		H0Y4Z7	H0Y4Z7_HUMAN	unreviewed	Carnitine O-acetyltransferase (Fragment)	CRAT	Homo sapiens (Human)	201
