yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC10BW	Entry	Entry name		Protein names	Gene names	Organism	Length
B4GALT4		O60513	B4GT4_HUMAN	reviewed	Beta-1,4-galactosyltransferase 4 (Beta-1,4-GalTase 4) (Beta4Gal-T4) (b4Gal-T4) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4) [Includes: N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Lactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase)]	B4GALT4 UNQ552/PRO1109	Homo sapiens (Human)	344
B4GALT7		D6RA33	D6RA33_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 7 (Fragment)	B4GALT7	Homo sapiens (Human)	42
B4GALT7		D6RDJ8	D6RDJ8_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 7 (Fragment)	B4GALT7	Homo sapiens (Human)	36
B4GALT7		D6RJI5	D6RJI5_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 7	B4GALT7	Homo sapiens (Human)	170
B4GALT7		H0Y9D6	H0Y9D6_HUMAN	unreviewed	Beta-1,4-galactosyltransferase 7 (Fragment)	B4GALT7	Homo sapiens (Human)	77
B4GALT7		Q9UBV7	B4GT7_HUMAN	reviewed	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) [Includes: Xylosylprotein 4-beta-galactosyltransferase (EC 2.4.1.133) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein beta-1,4-galactosyltransferase)]	B4GALT7 XGALT1 UNQ748/PRO1478	Homo sapiens (Human)	327
BIK		A0A024R4X6	A0A024R4X6_HUMAN	unreviewed	BCL2-interacting killer (Apoptosis-inducing), isoform CRA_a	BIK hCG_1734392	Homo sapiens (Human)	160
BIK		Q13323	BIK_HUMAN	reviewed	Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4)	BIK NBK	Homo sapiens (Human)	160
BPNT1		A6NF51	A6NF51_HUMAN	unreviewed	3'(2'),5'-bisphosphate nucleotidase 1	BPNT1	Homo sapiens (Human)	291
BPNT1		F8VRY7	F8VRY7_HUMAN	unreviewed	3'(2'),5'-bisphosphate nucleotidase 1 (Fragment)	BPNT1	Homo sapiens (Human)	116
BPNT1		F8VVW8	F8VVW8_HUMAN	unreviewed	3'(2'),5'-bisphosphate nucleotidase 1 (Fragment)	BPNT1	Homo sapiens (Human)	130
BPNT1		F8VZG4	F8VZG4_HUMAN	unreviewed	3'(2'),5'-bisphosphate nucleotidase 1 (Fragment)	BPNT1	Homo sapiens (Human)	136
BPNT1		F8W1J0	F8W1J0_HUMAN	unreviewed	3'(2'),5'-bisphosphate nucleotidase 1 (Fragment)	BPNT1	Homo sapiens (Human)	170
BPNT1		O95861	BPNT1_HUMAN	reviewed	3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)	BPNT1	Homo sapiens (Human)	308
CACNA1H		A2SX35	A2SX35_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha1H subunit splice variant 512 (Fragment)	CACNA1H	Homo sapiens (Human)	1077
CACNA1H		A2SX36	A2SX36_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha1H subunit splice variant 513 (Fragment)	CACNA1H	Homo sapiens (Human)	1088
CACNA1H		A2SX37	A2SX37_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha1H subunit splice variant 544 (Fragment)	CACNA1H	Homo sapiens (Human)	1083
CACNA1H		A2SX38	A2SX38_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha1H subunit splice variant 577 (Fragment)	CACNA1H	Homo sapiens (Human)	1099
CACNA1H		H3BMW6	H3BMW6_HUMAN	unreviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Fragment)	CACNA1H	Homo sapiens (Human)	1078
CACNA1H		H3BNT0	H3BNT0_HUMAN	unreviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Fragment)	CACNA1H	Homo sapiens (Human)	1100
CACNA1H		H3BUA8	H3BUA8_HUMAN	unreviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Fragment)	CACNA1H	Homo sapiens (Human)	1084
CACNA1H		O95180	CAC1H_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353
CACNA1H		Q9NYY6	Q9NYY6_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha13.2 subunit (Fragment)	CACNA1H	Homo sapiens (Human)	100
CACNA1H		Q9NYY7	Q9NYY7_HUMAN	unreviewed	Low-voltage-activated calcium channel alpha13.2 subunit (Fragment)	CACNA1H	Homo sapiens (Human)	100
CAPN5		A0A140VKH4	A0A140VKH4_HUMAN	unreviewed	Calpain 5, isoform CRA_c (Testis tissue sperm-binding protein Li 91mP)	CAPN5 hCG_41870	Homo sapiens (Human)	640
CAPN5		E7EV01	E7EV01_HUMAN	unreviewed	Calpain-5	CAPN5	Homo sapiens (Human)	680
CAPN5		E9PS73	E9PS73_HUMAN	unreviewed	Calpain-5 (Fragment)	CAPN5	Homo sapiens (Human)	97
CAPN5		K7EP62	K7EP62_HUMAN	unreviewed	Calpain-5	CAPN5	Homo sapiens (Human)	52
CAPN5		O15484	CAN5_HUMAN	reviewed	Calpain-5 (EC 3.4.22.-) (Calpain htra-3) (New calpain 3) (nCL-3)	CAPN5 NCL3	Homo sapiens (Human)	640
CASP6		D6RBM3	D6RBM3_HUMAN	unreviewed	Caspase-6	CASP6	Homo sapiens (Human)	80
CASP6		D6RHU3	D6RHU3_HUMAN	unreviewed	Caspase-6 (Fragment)	CASP6	Homo sapiens (Human)	143
CASP6		P55212	CASP6_HUMAN	reviewed	Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11]	CASP6 MCH2	Homo sapiens (Human)	293
CD44		C0STK4	C0STK4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	40
CD44		C1PHC2	C1PHC2_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	42
CD44		C1PHC3	C1PHC3_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	45
CD44		C1PHC4	C1PHC4_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	44
CD44		C1PHE6	C1PHE6_HUMAN	unreviewed	CD44 molecule (Fragment)	CD44	Homo sapiens (Human)	29
CD44		E9PKC6	E9PKC6_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	78
CD44		H0Y2P0	H0Y2P0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	287
CD44		H0Y5E4	H0Y5E4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	294
CD44		H0YCL4	H0YCL4_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YCV9	H0YCV9_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YD13	H0YD13_HUMAN	unreviewed	CD44 antigen	CD44	Homo sapiens (Human)	206
CD44		H0YD17	H0YD17_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	229
CD44		H0YD90	H0YD90_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	195
CD44		H0YDV8	H0YDV8_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	191
CD44		H0YDW7	H0YDW7_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	240
CD44		H0YDX6	H0YDX6_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	181
CD44		H0YE40	H0YE40_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	82
CD44		H0YEA1	H0YEA1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	193
CD44		H0YES0	H0YES0_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	118
CD44		H0YEU1	H0YEU1_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	249
CD44		H0YEV3	H0YEV3_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	243
CD44		H0YF08	H0YF08_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	186
CD44		J3KN83	J3KN83_HUMAN	unreviewed	CD44 antigen (Fragment)	CD44	Homo sapiens (Human)	232
CD44		O95658	O95658_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	31
CD44		O95659	O95659_HUMAN	unreviewed	Soluble CD44 (Fragment)	CD44	Homo sapiens (Human)	33
CD44		P16070	CD44_HUMAN	reviewed	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	Homo sapiens (Human)	742
CD44		Q86UZ1	Q86UZ1_HUMAN	unreviewed	CD44 antigen (CD44 protein)	CD44	Homo sapiens (Human)	80
CD44		Q99900	Q99900_HUMAN	unreviewed	CD44 protein (Fragment)	CD44	Homo sapiens (Human)	177
CD44		Q9P2Z2	Q9P2Z2_HUMAN	unreviewed	CD44 epithelial domain (Fragment)	CD44	Homo sapiens (Human)	127
CDK1		A0A024QZP7	A0A024QZP7_HUMAN	unreviewed	Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)	CDC2 CDK1 hCG_40242	Homo sapiens (Human)	297
CDK1		A0A087WZZ9	A0A087WZZ9_HUMAN	unreviewed	Cyclin-dependent kinase 1	CDK1	Homo sapiens (Human)	224
CDK1		E5RIU6	E5RIU6_HUMAN	unreviewed	Cyclin-dependent kinase 1 (Fragment)	CDK1	Homo sapiens (Human)	189
CDK1		P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	297
CENPA		F8WD88	F8WD88_HUMAN	unreviewed	Histone H3-like centromeric protein A	CENPA	Homo sapiens (Human)	86
CENPA		P49450	CENPA_HUMAN	reviewed	Histone H3-like centromeric protein A (Centromere autoantigen A) (Centromere protein A) (CENP-A)	CENPA	Homo sapiens (Human)	140
CHPF		A0A024R468	A0A024R468_HUMAN	unreviewed	Chondroitin polymerizing factor, isoform CRA_d	CHPF hCG_2013407	Homo sapiens (Human)	1025
CHPF		F8W6H2	F8W6H2_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-)	CHPF	Homo sapiens (Human)	298
CHPF		Q8IZ52	CHSS2_HUMAN	reviewed	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	CHPF CSS2 UNQ651/PRO1281	Homo sapiens (Human)	775
CHPF2		C9JZF7	C9JZF7_HUMAN	unreviewed	Chondroitin sulfate glucuronyltransferase (Fragment)	CHPF2	Homo sapiens (Human)	90
CHPF2		G5E9W2	G5E9W2_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-)	CHPF2 CSGlcA-T hCG_18696 tcag7.785	Homo sapiens (Human)	764
CHPF2		H7C5L5	H7C5L5_HUMAN	unreviewed	Hexosyltransferase (EC 2.4.1.-) (Fragment)	CHPF2	Homo sapiens (Human)	123
CHPF2		Q9P2E5	CHPF2_HUMAN	reviewed	Chondroitin sulfate glucuronyltransferase (EC 2.4.1.226) (CSGlcA-T) (Chondroitin glucuronyltransferase) (Chondroitin polymerizing factor 2) (ChPF-2) (Chondroitin synthase 3) (ChSy-3) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase)	CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339	Homo sapiens (Human)	772
CHST1		O43916	CHST1_HUMAN	reviewed	Carbohydrate sulfotransferase 1 (EC 2.8.2.21) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST)	CHST1	Homo sapiens (Human)	411
CHST12		A0A024R860	A0A024R860_HUMAN	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)	CHST12 hCG_1639774	Homo sapiens (Human)	414
CHST12		C9J991	C9J991_HUMAN	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-) (Fragment)	CHST12	Homo sapiens (Human)	245
CHST12		Q9NRB3	CHSTC_HUMAN	reviewed	Carbohydrate sulfotransferase 12 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 2) (Chondroitin 4-sulfotransferase 2) (C4ST-2) (C4ST2) (Sulfotransferase Hlo)	CHST12 UNQ500/PRO1017	Homo sapiens (Human)	414
CHST2		Q9Y4C5	CHST2_HUMAN	reviewed	Carbohydrate sulfotransferase 2 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 2) (GST-2) (N-acetylglucosamine 6-O-sulfotransferase 1) (GlcNAc6ST-1) (Gn6ST-1)	CHST2 GN6ST	Homo sapiens (Human)	530
CHST4		Q8NCG5	CHST4_HUMAN	reviewed	Carbohydrate sulfotransferase 4 (EC 2.8.2.-) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 3) (GST-3) (High endothelial cells N-acetylglucosamine 6-O-sulfotransferase) (HEC-GlcNAc6ST) (L-selectin ligand sulfotransferase) (LSST) (N-acetylglucosamine 6-O-sulfotransferase 2) (GlcNAc6ST-2) (Gn6st-2)	CHST4	Homo sapiens (Human)	386
CHST6		A0A1I9LHJ0	A0A1I9LHJ0_HUMAN	unreviewed	Sulfotransferase (EC 2.8.2.-)	CHST6	Homo sapiens (Human)	395
CHST6		A0A1I9LHJ1	A0A1I9LHJ1_HUMAN	unreviewed	Sulfotransferase (EC 2.8.2.-)	CHST6	Homo sapiens (Human)	395
CHST6		A0A1I9LHJ2	A0A1I9LHJ2_HUMAN	unreviewed	Sulfotransferase (EC 2.8.2.-)	CHST6	Homo sapiens (Human)	395
CHST6		D6QZA0	D6QZA0_HUMAN	unreviewed	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 (Fragment)	CHST6	Homo sapiens (Human)	29
CHST6		D6QZA1	D6QZA1_HUMAN	unreviewed	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 (Fragment)	CHST6	Homo sapiens (Human)	33
CHST6		D6QZA2	D6QZA2_HUMAN	unreviewed	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6 (Fragment)	CHST6	Homo sapiens (Human)	34
CHST6		L8E925	L8E925_HUMAN	unreviewed	Alternative protein CHST6	CHST6	Homo sapiens (Human)	68
CHST6		Q9GZX3	CHST6_HUMAN	reviewed	Carbohydrate sulfotransferase 6 (EC 2.8.2.-) (Corneal N-acetylglucosamine-6-O-sulfotransferase) (C-GlcNAc6ST) (hCGn6ST) (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-beta) (GST4-beta) (N-acetylglucosamine 6-O-sulfotransferase 5) (GlcNAc6ST-5) (Gn6st-5)	CHST6	Homo sapiens (Human)	395
CITED2		A0A0A0MTM3	A0A0A0MTM3_HUMAN	unreviewed	Cbp/p300-interacting transactivator 2	CITED2	Homo sapiens (Human)	275
CITED2		D9ZGF1	D9ZGF1_HUMAN	unreviewed	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 (Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2, isoform CRA_d)	CITED2 hCG_32930	Homo sapiens (Human)	270
CITED2		Q99967	CITE2_HUMAN	reviewed	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj)	CITED2 MRG1	Homo sapiens (Human)	270
CLDN3		O15551	CLD3_HUMAN	reviewed	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	CLDN3 C7orf1 CPETR2	Homo sapiens (Human)	220
CLDN3		Q75L79	Q75L79_HUMAN	unreviewed	Claudin	CLDN3 hCG_1737329	Homo sapiens (Human)	220
CLDN9		O95484	CLD9_HUMAN	reviewed	Claudin-9	CLDN9	Homo sapiens (Human)	217
CLN6		A0A024R601	A0A024R601_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 1 (Ceroid-lipofuscinosis, neuronal 6, late infantile, variant, isoform CRA_a)	CLN6 hCG_23813	Homo sapiens (Human)	311
CLN6		A0A0S2Z5D0	A0A0S2Z5D0_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 2 (Ceroid-lipofuscinosis neuronal protein 6)	CLN6	Homo sapiens (Human)	171
CLN6		A0A0S2Z5G3	A0A0S2Z5G3_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 4 (Fragment)	CLN6	Homo sapiens (Human)	278
CLN6		A0A1B0GTD3	A0A1B0GTD3_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6 (Fragment)	CLN6	Homo sapiens (Human)	86
CLN6		A0A1B0GTU6	A0A1B0GTU6_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6 (Fragment)	CLN6	Homo sapiens (Human)	251
CLN6		A0A1B0GTV3	A0A1B0GTV3_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6 (Ceroid-lipofuscinosis, neuronal 6, late infantile, variant, isoform CRA_e)	CLN6 hCG_23813	Homo sapiens (Human)	108
CLN6		A0A1B0GU39	A0A1B0GU39_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	67
CLN6		A0A1B0GU90	A0A1B0GU90_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6 (Fragment)	CLN6	Homo sapiens (Human)	76
CLN6		A0A1B0GUD2	A0A1B0GUD2_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	215
CLN6		A0A1B0GUQ7	A0A1B0GUQ7_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	76
CLN6		A0A1B0GUY3	A0A1B0GUY3_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	103
CLN6		A0A1B0GVR8	A0A1B0GVR8_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	61
CLN6		H3BNF1	H3BNF1_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	105
CLN6		H3BTY4	H3BTY4_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	158
CLN6		H3BUT1	H3BUT1_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal 6 late infantile variant isoform 5 (Ceroid-lipofuscinosis neuronal protein 6) (Ceroid-lipofuscinosis, neuronal 6, late infantile, variant, isoform CRA_c)	CLN6 hCG_23813	Homo sapiens (Human)	248
CLN6		H3BUV4	H3BUV4_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 6	CLN6	Homo sapiens (Human)	213
CLN6		Q9NWW5	CLN6_HUMAN	reviewed	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)	CLN6	Homo sapiens (Human)	311
COG2		B1ALW7	B1ALW7_HUMAN	unreviewed	Component of oligomeric golgi complex 2, isoform CRA_a (cDNA, FLJ93071, Homo sapiens component of oligomeric golgi complex 2 (COG2), mRNA)	COG2 hCG_15926	Homo sapiens (Human)	738
COG2		B7Z2Y2	B7Z2Y2_HUMAN	unreviewed	Conserved oligomeric Golgi complex subunit 2 (cDNA FLJ55945, highly similar to Conserved oligomeric Golgi complex component 2)	COG2	Homo sapiens (Human)	679
COG2		Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	Homo sapiens (Human)	738
COG2		V9GY21	V9GY21_HUMAN	unreviewed	Conserved oligomeric Golgi complex subunit 2	COG2	Homo sapiens (Human)	124
COL5A1		A0A024R8E5	A0A024R8E5_HUMAN	unreviewed	Collagen, type V, alpha 1, isoform CRA_a	COL5A1 hCG_2021790	Homo sapiens (Human)	1838
COL5A1		A0A087WXW9	A0A087WXW9_HUMAN	unreviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838
COL5A1		B2ZZ86	B2ZZ86_HUMAN	unreviewed	Collagen type V alpha 1	COL5A1	Homo sapiens (Human)	1838
COL5A1		H7BY82	H7BY82_HUMAN	unreviewed	Collagen alpha-1(V) chain (Fragment)	COL5A1	Homo sapiens (Human)	210
COL5A1		L8E771	L8E771_HUMAN	unreviewed	Alternative protein COL5A1	COL5A1	Homo sapiens (Human)	84
COL5A1		P20908	CO5A1_HUMAN	reviewed	Collagen alpha-1(V) chain	COL5A1	Homo sapiens (Human)	1838
COL5A1		Q9UML4	Q9UML4_HUMAN	unreviewed	Alpha-1 type V collagen (Fragment)	COL5A1	Homo sapiens (Human)	36
COPB2		D6R997	D6R997_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	152
COPB2		D6RBG7	D6RBG7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	89
COPB2		D6RBT6	D6RBT6_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	111
COPB2		D6RBZ7	D6RBZ7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	77
COPB2		D6RCL6	D6RCL6_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	86
COPB2		H0Y938	H0Y938_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	177
COPB2		H0YAC7	H0YAC7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	118
COPB2		P35606	COPB2_HUMAN	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	COPB2	Homo sapiens (Human)	906
CTH		P32929	CGL_HUMAN	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase)	CTH	Homo sapiens (Human)	405
CTH		Q96IQ7	VSIG2_HUMAN	reviewed	V-set and immunoglobulin domain-containing protein 2 (Cortical thymocyte-like protein) (CT-like protein)	VSIG2 CTH CTXL UNQ2770/PRO7154	Homo sapiens (Human)	327
CXCR4		A0A0U3FJG0	A0A0U3FJG0_HUMAN	unreviewed	Chemokine receptor isoform 4	CXCR4	Homo sapiens (Human)	385
CXCR4		A0A0U3GXA9	A0A0U3GXA9_HUMAN	unreviewed	Chemokine receptor isoform 3	CXCR4	Homo sapiens (Human)	423
CXCR4		P61073	CXCR4_HUMAN	reviewed	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Homo sapiens (Human)	352
CXCR4		Q5MIL4	Q5MIL4_HUMAN	unreviewed	Chemokine receptor 4 (Fragment)	CXCR4	Homo sapiens (Human)	64
CYB5A		J3KNC7	J3KNC7_HUMAN	unreviewed	Cytochrome b5	CYB5A	Homo sapiens (Human)	60
CYB5A		P00167	CYB5_HUMAN	reviewed	Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5)	CYB5A CYB5	Homo sapiens (Human)	134
DCN		A0A024RBG6	A0A024RBG6_HUMAN	unreviewed	Decorin, isoform CRA_f	DCN hCG_24110	Homo sapiens (Human)	212
DCN		A0A0S2Z3J8	A0A0S2Z3J8_HUMAN	unreviewed	Decorin isoform 3	DCN	Homo sapiens (Human)	46
DCN		A0A0S2Z3L3	A0A0S2Z3L3_HUMAN	unreviewed	Decorin isoform 4	DCN	Homo sapiens (Human)	42
DCN		A0A0S2Z3L8	A0A0S2Z3L8_HUMAN	unreviewed	Decorin isoform 2 (Fragment)	DCN	Homo sapiens (Human)	148
DCN		F8VNV6	F8VNV6_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	177
DCN		F8VNW0	F8VNW0_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	88
DCN		F8VSI3	F8VSI3_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	100
DCN		F8VU58	F8VU58_HUMAN	unreviewed	Decorin	DCN	Homo sapiens (Human)	98
DCN		F8VUF6	F8VUF6_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	178
DCN		F8VWU0	F8VWU0_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	179
DCN		F8VX58	F8VX58_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	119
DCN		F8VXZ8	F8VXZ8_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	174
DCN		H0YI87	H0YI87_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	52
DCN		H0YIH3	H0YIH3_HUMAN	unreviewed	Decorin (Fragment)	DCN	Homo sapiens (Human)	95
DCN		P07585	PGS2_HUMAN	reviewed	Decorin (Bone proteoglycan II) (PG-S2) (PG40)	DCN SLRR1B	Homo sapiens (Human)	359
DCN		Q6FH10	Q6FH10_HUMAN	unreviewed	DCN protein (Decorin isoform 1) (Decorin, isoform CRA_b) (Putative uncharacterized protein DKFZp686J19238) (cDNA FLJ75936, highly similar to Homo sapiens decorin (DCN), transcript variant A1, mRNA)	DCN DKFZp686J19238 hCG_24110	Homo sapiens (Human)	359
