yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC14D9	Entry	Entry name		Protein names	Gene names	Organism	Length
GRB2		Q6ICN0	Q6ICN0_HUMAN	unreviewed	GRB2 protein (Fragment)	GRB2	Homo sapiens (Human)	217
HAX1		A0A0S2Z519	A0A0S2Z519_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 5	HAX1	Homo sapiens (Human)	62
HAX1		A0A0S2Z565	A0A0S2Z565_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 3 (Fragment)	HAX1	Homo sapiens (Human)	231
HAX1		A0A0S2Z591	A0A0S2Z591_HUMAN	unreviewed	HCLS1 associated protein X-1 isoform 1 (Fragment)	HAX1	Homo sapiens (Human)	279
HAX1		E9PIQ7	E9PIQ7_HUMAN	unreviewed	HCLS1-associated protein X-1	HAX1	Homo sapiens (Human)	151
HAX1		O00165	HAX1_HUMAN	reviewed	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	HAX1 HS1BP1	Homo sapiens (Human)	279
HAX1		Q5VYD6	Q5VYD6_HUMAN	unreviewed	HCLS1-associated protein X-1 (Fragment)	HAX1	Homo sapiens (Human)	255
HMOX1		B1AHA8	B1AHA8_HUMAN	unreviewed	Heme oxygenase 1 (Fragment)	HMOX1	Homo sapiens (Human)	187
HMOX1		D2K7W4	D2K7W4_HUMAN	unreviewed	HMOX1 (Fragment)	HMOX1	Homo sapiens (Human)	42
HMOX1		F2YMD9	F2YMD9_HUMAN	unreviewed	Heme oxygenase 1 (Fragment)	HMOX1	Homo sapiens (Human)	288
HMOX1		P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	Homo sapiens (Human)	288
HMOX1		Q6FH11	Q6FH11_HUMAN	unreviewed	HMOX1 protein (Heme oxygenase (Decycling) 1)	HMOX1 hCG_40033	Homo sapiens (Human)	288
HMOX1		Q96DI8	Q96DI8_HUMAN	unreviewed	Heme oxygenase (Decycling) 1	HMOX1	Homo sapiens (Human)	288
IFNAR1		C9J114	C9J114_HUMAN	unreviewed	Interferon alpha/beta receptor 1 (Fragment)	IFNAR1	Homo sapiens (Human)	136
IFNAR1		P17181	INAR1_HUMAN	reviewed	Interferon alpha/beta receptor 1 (IFN-R-1) (IFN-alpha/beta receptor 1) (Cytokine receptor class-II member 1) (Cytokine receptor family 2 member 1) (CRF2-1) (Type I interferon receptor 1)	IFNAR1 IFNAR	Homo sapiens (Human)	557
IFNGR1		A0A0S2Z3R7	A0A0S2Z3R7_HUMAN	unreviewed	Interferon gamma receptor 1 isoform 2	IFNGR1	Homo sapiens (Human)	114
IFNGR1		A0A0S2Z3Y2	A0A0S2Z3Y2_HUMAN	unreviewed	Interferon gamma receptor 1 isoform 1 (Fragment)	IFNGR1	Homo sapiens (Human)	489
IFNGR1		A5HJZ4	A5HJZ4_HUMAN	unreviewed	Truncated interferon-gamma receptor 1	IFNGR1	Homo sapiens (Human)	274
IFNGR1		E5QBZ2	E5QBZ2_HUMAN	unreviewed	Interferon-gamma receptor alpha chain (Fragment)	IFNGR1	Homo sapiens (Human)	28
IFNGR1		P15260	INGR1_HUMAN	reviewed	Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119)	IFNGR1	Homo sapiens (Human)	489
IFNGR1		Q5TFC9	Q5TFC9_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	210
IFNGR1		Q5TFD1	Q5TFD1_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	161
IFNGR1		Q7Z687	Q7Z687_HUMAN	unreviewed	Interferon gamma receptor 1 (Fragment)	IFNGR1	Homo sapiens (Human)	202
IFNGR2		A0A0G2JLC6	A0A0G2JLC6_HUMAN	unreviewed	Interferon gamma receptor 2 (Fragment)	IFNGR2	Homo sapiens (Human)	46
IFNGR2		A0A0G2JLD7	A0A0G2JLD7_HUMAN	unreviewed	Interferon gamma receptor 2 (Fragment)	IFNGR2	Homo sapiens (Human)	332
IFNGR2		A0A0G2JLE2	A0A0G2JLE2_HUMAN	unreviewed	Interferon gamma receptor 2 (Fragment)	IFNGR2	Homo sapiens (Human)	13
IFNGR2		A0A0G2JLE8	A0A0G2JLE8_HUMAN	unreviewed	Interferon gamma receptor 2 (Fragment)	IFNGR2	Homo sapiens (Human)	330
IFNGR2		A8K881	A8K881_HUMAN	unreviewed	Interferon gamma receptor 2 (Interferon gamma transducer 1), isoform CRA_a (cDNA FLJ78008, highly similar to Human clone pSK1 interferon gamma receptor accessory factor-1 (AF-1) mRNA) (cDNA, FLJ94659, highly similar to Homo sapiens interferon gamma receptor 2 (interferon gammatransducer 1) (IFNGR2), mRNA)	IFNGR2 hCG_401179	Homo sapiens (Human)	337
IFNGR2		B5MCZ0	B5MCZ0_HUMAN	unreviewed	Interferon gamma receptor 2 (Interferon gamma receptor 2 (Interferon gamma transducer 1), isoform CRA_b)	IFNGR2 hCG_401179	Homo sapiens (Human)	258
IFNGR2		E7EUY1	E7EUY1_HUMAN	unreviewed	Interferon gamma receptor 2	IFNGR2	Homo sapiens (Human)	356
IFNGR2		F8WE34	F8WE34_HUMAN	unreviewed	Interferon gamma receptor 2	IFNGR2	Homo sapiens (Human)	37
IFNGR2		F8WF11	F8WF11_HUMAN	unreviewed	Interferon gamma receptor 2	IFNGR2	Homo sapiens (Human)	70
IFNGR2		H7C1V5	H7C1V5_HUMAN	unreviewed	Interferon gamma receptor 2 (Fragment)	IFNGR2	Homo sapiens (Human)	60
IFNGR2		P38484	INGR2_HUMAN	reviewed	Interferon gamma receptor 2 (IFN-gamma receptor 2) (IFN-gamma-R2) (Interferon gamma receptor accessory factor 1) (AF-1) (Interferon gamma receptor beta-chain) (IFN-gamma-R-beta) (Interferon gamma transducer 1)	IFNGR2 IFNGT1	Homo sapiens (Human)	337
IL10RB		A0A1B0GTI5	A0A1B0GTI5_HUMAN	unreviewed	Interleukin-10 receptor subunit beta (Fragment)	IL10RB	Homo sapiens (Human)	88
IL10RB		A0A1B0GU52	A0A1B0GU52_HUMAN	unreviewed	Interleukin-10 receptor subunit beta (Fragment)	IL10RB	Homo sapiens (Human)	44
IL10RB		F8WDX2	F8WDX2_HUMAN	unreviewed	Interleukin-10 receptor subunit beta	IL10RB	Homo sapiens (Human)	71
IL10RB		H2DF06	H2DF06_HUMAN	unreviewed	Interleukin 10 beta receptor	IL10RB	Homo sapiens (Human)	325
IL10RB		H7C0Z5	H7C0Z5_HUMAN	unreviewed	Interleukin-10 receptor subunit beta (Fragment)	IL10RB	Homo sapiens (Human)	216
IL10RB		Q08334	I10R2_HUMAN	reviewed	Interleukin-10 receptor subunit beta (IL-10 receptor subunit beta) (IL-10R subunit beta) (IL-10RB) (Cytokine receptor class-II member 4) (Cytokine receptor family 2 member 4) (CRF2-4) (Interleukin-10 receptor subunit 2) (IL-10R subunit 2) (IL-10R2) (CD antigen CDw210b)	IL10RB CRFB4 D21S58 D21S66	Homo sapiens (Human)	325
IL12RB1		M0QX06	M0QX06_HUMAN	unreviewed	Interleukin-12 receptor subunit beta-1 (Fragment)	IL12RB1	Homo sapiens (Human)	67
IL12RB1		M0R382	M0R382_HUMAN	unreviewed	Interleukin-12 receptor subunit beta-1 (Fragment)	IL12RB1	Homo sapiens (Human)	51
IL12RB1		P42701	I12R1_HUMAN	reviewed	Interleukin-12 receptor subunit beta-1 (IL-12 receptor subunit beta-1) (IL-12R subunit beta-1) (IL-12R-beta-1) (IL-12RB1) (IL-12 receptor beta component) (CD antigen CD212)	IL12RB1 IL12R IL12RB	Homo sapiens (Human)	662
IL12RB1		X6RGM1	X6RGM1_HUMAN	unreviewed	Interleukin-12 receptor subunit beta-1 (Fragment)	IL12RB1	Homo sapiens (Human)	118
IL13RA1		P78552	I13R1_HUMAN	reviewed	Interleukin-13 receptor subunit alpha-1 (IL-13 receptor subunit alpha-1) (IL-13R subunit alpha-1) (IL-13R-alpha-1) (IL-13RA1) (Cancer/testis antigen 19) (CT19) (CD antigen CD213a1)	IL13RA1 IL13R IL13RA	Homo sapiens (Human)	427
IL13RA1		Q96BB4	Q96BB4_HUMAN	unreviewed	Interleukin 13 receptor, alpha 1	IL13RA1	Homo sapiens (Human)	427
IL15RA		A0A0A0MS77	A0A0A0MS77_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha	IL15RA	Homo sapiens (Human)	353
IL15RA		E7ETI1	E7ETI1_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	172
IL15RA		E9PQ64	E9PQ64_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	172
IL15RA		G8CVM3	G8CVM3_HUMAN	unreviewed	Interleukin 15 receptor alpha	IL15RA	Homo sapiens (Human)	318
IL15RA		H0Y4R3	H0Y4R3_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	198
IL15RA		H0Y6E8	H0Y6E8_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	155
IL15RA		H0YD11	H0YD11_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	209
IL15RA		K9N0C7	K9N0C7_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC4	il15ra	Homo sapiens (Human)	316
IL15RA		K9N163	K9N163_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC2 (Interleukin-15 receptor subunit alpha)	il15ra IL15RA	Homo sapiens (Human)	331
IL15RA		K9N170	K9N170_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC7	il15ra	Homo sapiens (Human)	290
IL15RA		K9N1J3	K9N1J3_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC5 (Interleukin-15 receptor subunit alpha)	il15ra IL15RA	Homo sapiens (Human)	308
IL15RA		K9N2Q6	K9N2Q6_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC3 (Interleukin-15 receptor subunit alpha)	il15ra IL15RA	Homo sapiens (Human)	346
IL15RA		K9N2R0	K9N2R0_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC8	il15ra	Homo sapiens (Human)	287
IL15RA		K9N2S2	K9N2S2_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform EM2 (Interleukin-15 receptor subunit alpha)	il15ra IL15RA	Homo sapiens (Human)	305
IL15RA		K9N2S6	K9N2S6_HUMAN	unreviewed	Interleukin 15 receptor alpha isoform IC6	il15ra	Homo sapiens (Human)	288
IL15RA		Q13261	I15RA_HUMAN	reviewed	Interleukin-15 receptor subunit alpha (IL-15 receptor subunit alpha) (IL-15R-alpha) (IL-15RA) (CD antigen CD215) [Cleaved into: Soluble interleukin-15 receptor subunit alpha (sIL-15 receptor subunit alpha) (sIL-15R-alpha) (sIL-15RA)]	IL15RA	Homo sapiens (Human)	267
IL15RA		Q5JVA3	Q5JVA3_HUMAN	unreviewed	Interleukin-15 receptor subunit alpha (Fragment)	IL15RA	Homo sapiens (Human)	148
IL15RA		Q6P0Q3	Q6P0Q3_HUMAN	unreviewed	IL15RA protein	IL15RA	Homo sapiens (Human)	115
IL17RA		Q96F46	I17RA_HUMAN	reviewed	Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217)	IL17RA IL17R	Homo sapiens (Human)	866
IL17RB		C9IZN0	C9IZN0_HUMAN	unreviewed	Interleukin-17 receptor B (Fragment)	IL17RB	Homo sapiens (Human)	348
IL17RB		Q9NRM6	I17RB_HUMAN	reviewed	Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor)	IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612	Homo sapiens (Human)	502
IL18R1		A0A089VIW4	A0A089VIW4_HUMAN	unreviewed	IL18Ralpha2 splice variant (Fragment)	IL18R1	Homo sapiens (Human)	197
IL18R1		A0A089VKP9	A0A089VKP9_HUMAN	unreviewed	IL18Ralpha2 splice variant (Fragment)	IL18R1	Homo sapiens (Human)	204
IL18R1		B7ZKV7	B7ZKV7_HUMAN	unreviewed	IL18R1 protein	IL18R1	Homo sapiens (Human)	540
IL18R1		Q13478	IL18R_HUMAN	reviewed	Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (CD antigen CD218a)	IL18R1 IL1RRP	Homo sapiens (Human)	541
IL18R1		Q86YL8	Q86YL8_HUMAN	unreviewed	Interleukin-18 receptor 1 (Putative soluble interleukin 18 receptor 1)	IL18R1	Homo sapiens (Human)	170
IL1B		B5BUQ8	B5BUQ8_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	153
IL1B		C9JSC2	C9JSC2_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	125
IL1B		C9JVK0	C9JVK0_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	111
IL1B		C9JWV2	C9JWV2_HUMAN	unreviewed	Interleukin-1 beta (Fragment)	IL1B	Homo sapiens (Human)	143
IL1B		O43645	O43645_HUMAN	unreviewed	Interleukin 1 beta (Fragment)	IL1b	Homo sapiens (Human)	153
IL1B		P01584	IL1B_HUMAN	reviewed	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	Homo sapiens (Human)	269
IL1R1		B8ZZ73	B8ZZ73_HUMAN	unreviewed	Interleukin-1 receptor type 1	IL1R1	Homo sapiens (Human)	447
IL1R1		B8ZZW4	B8ZZW4_HUMAN	unreviewed	Interleukin-1 receptor type 1	IL1R1	Homo sapiens (Human)	538
IL1R1		B9A040	B9A040_HUMAN	unreviewed	Interleukin-1 receptor type 1	IL1R1	Homo sapiens (Human)	173
IL1R1		C9J3W8	C9J3W8_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	298
IL1R1		C9J686	C9J686_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	106
IL1R1		C9JQ36	C9JQ36_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	182
IL1R1		C9JW84	C9JW84_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	80
IL1R1		C9JWB2	C9JWB2_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	114
IL1R1		F8WF92	F8WF92_HUMAN	unreviewed	Interleukin-1 receptor type 1	IL1R1	Homo sapiens (Human)	119
IL1R1		H7BZM5	H7BZM5_HUMAN	unreviewed	Interleukin-1 receptor type 1 (Fragment)	IL1R1	Homo sapiens (Human)	124
IL1R1		P14778	IL1R1_HUMAN	reviewed	Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]	IL1R1 IL1R IL1RA IL1RT1	Homo sapiens (Human)	569
IL1R1		Q6NWP5	Q6NWP5_HUMAN	unreviewed	Interleukin 1 receptor, type I	IL1R1	Homo sapiens (Human)	569
IL1R1		Q6NWP6	Q6NWP6_HUMAN	unreviewed	Interleukin 1 receptor, type I	IL1R1	Homo sapiens (Human)	569
IL1R2		C9JNR0	C9JNR0_HUMAN	unreviewed	Interleukin-1 receptor type 2 (Fragment)	IL1R2	Homo sapiens (Human)	229
IL1R2		P27930	IL1R2_HUMAN	reviewed	Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]	IL1R2 IL1RB	Homo sapiens (Human)	398
IL1R2		Q6PIW7	Q6PIW7_HUMAN	unreviewed	IL1R2 protein (Fragment)	IL1R2	Homo sapiens (Human)	233
IL2RA		H0Y5Z0	H0Y5Z0_HUMAN	unreviewed	Interleukin-2 receptor subunit alpha (Fragment)	IL2RA	Homo sapiens (Human)	109
IL2RA		P01589	IL2RA_HUMAN	reviewed	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)	IL2RA	Homo sapiens (Human)	272
IL2RA		Q5W005	Q5W005_HUMAN	unreviewed	Interleukin 2 receptor, alpha, isoform CRA_b (Interleukin-2 receptor subunit alpha)	IL2RA hCG_23482	Homo sapiens (Human)	200
IL2RA		Q5W006	Q5W006_HUMAN	unreviewed	Interleukin-2 receptor subunit alpha	IL2RA	Homo sapiens (Human)	263
IL2RG		D6R964	D6R964_HUMAN	unreviewed	Cytokine receptor common subunit gamma (Fragment)	IL2RG	Homo sapiens (Human)	99
IL2RG		D6RBW5	D6RBW5_HUMAN	unreviewed	Cytokine receptor common subunit gamma (Fragment)	IL2RG	Homo sapiens (Human)	176
IL2RG		D6RDW9	D6RDW9_HUMAN	unreviewed	Cytokine receptor common subunit gamma (Fragment)	IL2RG	Homo sapiens (Human)	219
IL2RG		H0Y8J6	H0Y8J6_HUMAN	unreviewed	Cytokine receptor common subunit gamma (Fragment)	IL2RG	Homo sapiens (Human)	65
IL2RG		P31785	IL2RG_HUMAN	reviewed	Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132)	IL2RG	Homo sapiens (Human)	369
IL2RG		Q5FC09	Q5FC09_HUMAN	unreviewed	IL2RG nirs variant 5	IL2RG	Homo sapiens (Human)	348
IL2RG		Q5FC10	Q5FC10_HUMAN	unreviewed	Cytokine receptor common subunit gamma (IL2RG nirs variant 4)	IL2RG	Homo sapiens (Human)	98
IL2RG		Q5FC11	Q5FC11_HUMAN	unreviewed	IL2RG nirs variant 3	IL2RG	Homo sapiens (Human)	63
IL2RG		Q5FC13	Q5FC13_HUMAN	unreviewed	IL2RG nirs variant 1	IL2RG	Homo sapiens (Human)	44
IL3RA		J3JS34	J3JS34_HUMAN	unreviewed	Interleukin-3 receptor subunit alpha (Fragment)	IL3RA	Homo sapiens (Human)	164
IL3RA		P26951	IL3RA_HUMAN	reviewed	Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123)	IL3RA IL3R	Homo sapiens (Human)	378
IL4R		A0A0G2JLA1	A0A0G2JLA1_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	10
IL4R		B9EGC0	B9EGC0_HUMAN	unreviewed	Interleukin 4 receptor	IL4R hCG_1984906	Homo sapiens (Human)	825
IL4R		H3BRH7	H3BRH7_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha	IL4R	Homo sapiens (Human)	124
IL4R		H3BSE7	H3BSE7_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	49
IL4R		H3BTD9	H3BTD9_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	63
IL4R		I3L4H7	I3L4H7_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	133
IL4R		I3L4W9	I3L4W9_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	193
IL4R		J9JII2	J9JII2_HUMAN	unreviewed	Interleukin-4 receptor subunit alpha (Fragment)	IL4R	Homo sapiens (Human)	120
IL4R		P24394	IL4RA_HUMAN	reviewed	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	IL4R IL4RA 582J2.1	Homo sapiens (Human)	825
IL4R		Q5FC08	Q5FC08_HUMAN	unreviewed	IL4R nirs variant 1 (Interleukin-4 receptor subunit alpha)	IL4R	Homo sapiens (Human)	66
IL6		A0A1C9J7T5	A0A1C9J7T5_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7T7	A0A1C9J7T7_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7T8	A0A1C9J7T8_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7U0	A0A1C9J7U0_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7V0	A0A1C9J7V0_HUMAN	unreviewed	Interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	49
IL6		A0A1C9J7V2	A0A1C9J7V2_HUMAN	unreviewed	Truncated interleukin 6 (Fragment)	IL6	Homo sapiens (Human)	14
IL6		B4DNV3	B4DNV3_HUMAN	unreviewed	Interleukin-6 (cDNA FLJ52006, moderately similar to Interleukin-6)	IL6	Homo sapiens (Human)	122
IL6		B5MC14	B5MC14_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	198
IL6		B5MC21	B5MC21_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	136
IL6		B5MCZ3	B5MCZ3_HUMAN	unreviewed	Interleukin-6	IL6	Homo sapiens (Human)	189
IL6		C9J5B0	C9J5B0_HUMAN	unreviewed	Interleukin-6 (Fragment)	IL6	Homo sapiens (Human)	152
IL6		P05231	IL6_HUMAN	reviewed	Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2)	IL6 IFNB2	Homo sapiens (Human)	212
IL6		Q75MH2	Q75MH2_HUMAN	unreviewed	IL6 protein (Interleukin 6 (Interferon, beta 2)) (Interleukin 6 (Interferon, beta 2), isoform CRA_a) (Putative uncharacterized protein IL6)	IL6 hCG_38231 tcag7.131	Homo sapiens (Human)	212
IL6ST		A0A0A0N0L2	A0A0A0N0L2_HUMAN	unreviewed	IL6ST isoform 4	IL6ST	Homo sapiens (Human)	857
IL6ST		A0A0A0N0L5	A0A0A0N0L5_HUMAN	unreviewed	IL6ST isoform 3	IL6ST	Homo sapiens (Human)	884
IL6ST		D6RH03	D6RH03_HUMAN	unreviewed	Interleukin-6 receptor subunit beta	IL6ST	Homo sapiens (Human)	333
IL6ST		P40189	IL6RB_HUMAN	reviewed	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	IL6ST	Homo sapiens (Human)	918
IL6ST		Q17RA0	Q17RA0_HUMAN	unreviewed	Interleukin 6 signal transducer (Gp130, oncostatin M receptor)	IL6ST	Homo sapiens (Human)	918
IL6ST		Q5FC02	Q5FC02_HUMAN	unreviewed	IL6ST nirs variant 6 (Interleukin-6 receptor subunit beta)	IL6ST	Homo sapiens (Human)	66
IL6ST		Q5FC03	Q5FC03_HUMAN	unreviewed	IL6ST nirs variant 5	IL6ST	Homo sapiens (Human)	97
IL6ST		Q5FC05	Q5FC05_HUMAN	unreviewed	IL6ST nirs variant 3 (Interleukin-6 receptor subunit beta)	IL6ST	Homo sapiens (Human)	203
IL6ST		Q5FC06	Q5FC06_HUMAN	unreviewed	IL6ST nirs variant 2	IL6ST	Homo sapiens (Human)	24
IL6ST		Q5FC07	Q5FC07_HUMAN	unreviewed	IL6ST nirs variant 1 (Interleukin-6 receptor subunit beta)	IL6ST	Homo sapiens (Human)	55
IL7		A0A0A0MTG5	A0A0A0MTG5_HUMAN	unreviewed	Interleukin-7 (IL-7)	IL7	Homo sapiens (Human)	159
IL7		D0EYG7	D0EYG7_HUMAN	unreviewed	Interleukin 7 (Fragment)	IL7	Homo sapiens (Human)	152
IL7		P13232	IL7_HUMAN	reviewed	Interleukin-7 (IL-7)	IL7	Homo sapiens (Human)	177
IL7		Q5FBX5	Q5FBX5_HUMAN	unreviewed	IL7 nirs variant 1 (Interleukin-7)	IL7	Homo sapiens (Human)	115
IL7		Q5FBY3	Q5FBY3_HUMAN	unreviewed	IL7 nirs variant 6 (Interleukin-7)	IL7	Homo sapiens (Human)	71
IL7		Q5FBY6	Q5FBY6_HUMAN	unreviewed	IL7 nirs variant 3 (Interleukin-7)	IL7	Homo sapiens (Human)	37
IL7		Q5FBY8	Q5FBY8_HUMAN	unreviewed	IL7 nirs variant 5	IL7	Homo sapiens (Human)	31
IL9R		A0A024R039	A0A024R039_HUMAN	unreviewed	Interleukin 9 receptor, isoform CRA_b	IL9R hCG_1993757	Homo sapiens (Human)	538
IL9R		I6L9D8	I6L9D8_HUMAN	unreviewed	IL9R protein	IL9R	Homo sapiens (Human)	332
IL9R		Q01113	IL9R_HUMAN	reviewed	Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129)	IL9R	Homo sapiens (Human)	521
INHBE		F8VNP4	F8VNP4_HUMAN	unreviewed	Inhibin beta E chain (Fragment)	INHBE	Homo sapiens (Human)	274
INHBE		P58166	INHBE_HUMAN	reviewed	Inhibin beta E chain (Activin beta-E chain)	INHBE	Homo sapiens (Human)	350
IRF1		A0A0B6XK11	A0A0B6XK11_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	61
IRF1		A0A0B6XK53	A0A0B6XK53_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	47
IRF1		A0A1B1RS94	A0A1B1RS94_HUMAN	unreviewed	Interferon regulatory factor 1 isoform d9,10 (Fragment)	IRF1	Homo sapiens (Human)	306
IRF1		C9J9C5	C9J9C5_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	198
IRF1		C9JD95	C9JD95_HUMAN	unreviewed	Interferon regulatory factor 1 (Fragment)	IRF1	Homo sapiens (Human)	192
IRF1		F8WCM1	F8WCM1_HUMAN	unreviewed	Interferon regulatory factor 1	IRF1	Homo sapiens (Human)	51
IRF1		P10914	IRF1_HUMAN	reviewed	Interferon regulatory factor 1 (IRF-1)	IRF1	Homo sapiens (Human)	325
IRF1		Q5FBX3	Q5FBX3_HUMAN	unreviewed	Interferon regulatory factor 1 nirs variant 1	IRF1	Homo sapiens (Human)	250
