yourlist:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	isomap:M2017042783C3DD8CE55183C76102DC5D3A26728BCDC128G	Entry	Entry name		Protein names	Gene names	Organism	Length
CLN5		A0A087WZY0	A0A087WZY0_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	205
CLN5		A0A0A0MRU5	A0A0A0MRU5_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5	CLN5	Homo sapiens (Human)	358
CLN5		A0A1B0GTI0	A0A1B0GTI0_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	204
CLN5		A0A1B0GTR6	A0A1B0GTR6_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	216
CLN5		A0A1B0GTV7	A0A1B0GTV7_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	249
CLN5		A0A1B0GU14	A0A1B0GU14_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5	CLN5	Homo sapiens (Human)	36
CLN5		A0A1B0GUE8	A0A1B0GUE8_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	271
CLN5		A0A1B0GV94	A0A1B0GV94_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	277
CLN5		A0A1B0GVL0	A0A1B0GVL0_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	125
CLN5		A0A1B0GWI2	A0A1B0GWI2_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	304
CLN5		A0A1C7CYZ2	A0A1C7CYZ2_HUMAN	unreviewed	Ceroid-lipofuscinosis neuronal protein 5 (Fragment)	CLN5	Homo sapiens (Human)	210
CLN5		O75503	CLN5_HUMAN	reviewed	Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]	CLN5	Homo sapiens (Human)	358
CLTA		C9J8P9	C9J8P9_HUMAN	unreviewed	Clathrin light chain	CLTA	Homo sapiens (Human)	196
CLTA		F8WF69	F8WF69_HUMAN	unreviewed	Clathrin light chain	CLTA	Homo sapiens (Human)	260
CLTA		P09496	CLCA_HUMAN	reviewed	Clathrin light chain A (Lca)	CLTA	Homo sapiens (Human)	248
CLTA		S4R3F6	S4R3F6_HUMAN	unreviewed	Clathrin light chain A (Fragment)	CLTA	Homo sapiens (Human)	64
CLTC		A0A087WVQ6	A0A087WVQ6_HUMAN	unreviewed	Clathrin heavy chain	CLTC hCG_1818599	Homo sapiens (Human)	1679
CLTC		J3KRF5	J3KRF5_HUMAN	unreviewed	Clathrin heavy chain 1 (Fragment)	CLTC	Homo sapiens (Human)	131
CLTC		J3KS13	J3KS13_HUMAN	unreviewed	Clathrin heavy chain 1	CLTC	Homo sapiens (Human)	612
CLTC		J3KSQ2	J3KSQ2_HUMAN	unreviewed	Clathrin heavy chain 1 (Fragment)	CLTC	Homo sapiens (Human)	122
CLTC		J3KTN1	J3KTN1_HUMAN	unreviewed	Clathrin heavy chain 1 (Fragment)	CLTC	Homo sapiens (Human)	24
CLTC		J3QL20	J3QL20_HUMAN	unreviewed	Clathrin heavy chain 1	CLTC	Homo sapiens (Human)	97
CLTC		K7EJJ5	K7EJJ5_HUMAN	unreviewed	Clathrin heavy chain 1 (Fragment)	CLTC	Homo sapiens (Human)	222
CLTC		Q00610	CLH1_HUMAN	reviewed	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675
CLTC		Q49AL0	Q49AL0_HUMAN	unreviewed	CLTC protein	CLTC	Homo sapiens (Human)	36
COG2		B1ALW7	B1ALW7_HUMAN	unreviewed	Component of oligomeric golgi complex 2, isoform CRA_a (cDNA, FLJ93071, Homo sapiens component of oligomeric golgi complex 2 (COG2), mRNA)	COG2 hCG_15926	Homo sapiens (Human)	738
COG2		B7Z2Y2	B7Z2Y2_HUMAN	unreviewed	Conserved oligomeric Golgi complex subunit 2 (cDNA FLJ55945, highly similar to Conserved oligomeric Golgi complex component 2)	COG2	Homo sapiens (Human)	679
COG2		Q14746	COG2_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Low density lipoprotein receptor defect C-complementing protein)	COG2 LDLC	Homo sapiens (Human)	738
COG2		V9GY21	V9GY21_HUMAN	unreviewed	Conserved oligomeric Golgi complex subunit 2	COG2	Homo sapiens (Human)	124
COPB1		E9PKQ1	E9PKQ1_HUMAN	unreviewed	Coatomer subunit beta (Fragment)	COPB1	Homo sapiens (Human)	137
COPB1		E9PP63	E9PP63_HUMAN	unreviewed	Coatomer subunit beta (Fragment)	COPB1	Homo sapiens (Human)	132
COPB1		E9PP73	E9PP73_HUMAN	unreviewed	Coatomer subunit beta (Fragment)	COPB1	Homo sapiens (Human)	485
COPB1		P53618	COPB_HUMAN	reviewed	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	COPB1 COPB MSTP026	Homo sapiens (Human)	953
COPB2		D6R997	D6R997_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	152
COPB2		D6RBG7	D6RBG7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	89
COPB2		D6RBT6	D6RBT6_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	111
COPB2		D6RBZ7	D6RBZ7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	77
COPB2		D6RCL6	D6RCL6_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	86
COPB2		H0Y938	H0Y938_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	177
COPB2		H0YAC7	H0YAC7_HUMAN	unreviewed	Coatomer subunit beta' (Fragment)	COPB2	Homo sapiens (Human)	118
COPB2		P35606	COPB2_HUMAN	reviewed	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP) (p102)	COPB2	Homo sapiens (Human)	906
COPE		M0QXB4	M0QXB4_HUMAN	unreviewed	Coatomer protein complex, subunit epsilon, isoform CRA_g (Coatomer subunit epsilon)	COPE hCG_2001439	Homo sapiens (Human)	331
COPE		M0R061	M0R061_HUMAN	unreviewed	Coatomer subunit epsilon	COPE	Homo sapiens (Human)	146
COPE		O14579	COPE_HUMAN	reviewed	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	COPE	Homo sapiens (Human)	308
CTSC		H0YCY8	H0YCY8_HUMAN	unreviewed	Dipeptidyl peptidase 1 (Fragment)	CTSC	Homo sapiens (Human)	244
CTSC		H0YDA2	H0YDA2_HUMAN	unreviewed	Dipeptidyl peptidase 1 (Fragment)	CTSC	Homo sapiens (Human)	36
CTSC		I3V9S3	I3V9S3_HUMAN	unreviewed	Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment)	CTSC	Homo sapiens (Human)	48
CTSC		I3V9T0	I3V9T0_HUMAN	unreviewed	Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment)	CTSC	Homo sapiens (Human)	48
CTSC		I3V9T1	I3V9T1_HUMAN	unreviewed	Dipeptidyl peptidase 1 isoform a preproprotein (EC 3.4.14.1) (Fragment)	CTSC	Homo sapiens (Human)	48
CTSC		I3V9V3	I3V9V3_HUMAN	unreviewed	Dipeptidyl peptidase 1 isoform a preproprotein (Fragment)	CTSC	Homo sapiens (Human)	55
CTSC		I3V9V6	I3V9V6_HUMAN	unreviewed	Dipeptidyl peptidase 1 isoform a preproprotein (Fragment)	CTSC	Homo sapiens (Human)	55
CTSC		P53634	CATC_HUMAN	reviewed	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	Homo sapiens (Human)	463
DNM1L		B4DDQ3	B4DDQ3_HUMAN	unreviewed	Dynamin-1-like protein (cDNA FLJ59840, highly similar to Dynamin-1-like protein (EC 3.6.5.5))	DNM1L	Homo sapiens (Human)	180
DNM1L		B4DPZ9	B4DPZ9_HUMAN	unreviewed	Dynamin-1-like protein (cDNA FLJ59948, highly similar to Dynamin-1-like protein (EC 3.6.5.5))	DNM1L	Homo sapiens (Human)	156
DNM1L		D3DUW5	D3DUW5_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_c	DNM1L hCG_1810949	Homo sapiens (Human)	789
DNM1L		D3DUW6	D3DUW6_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_f	DNM1L hCG_1810949	Homo sapiens (Human)	763
DNM1L		D3DUW7	D3DUW7_HUMAN	unreviewed	Dynamin 1-like, isoform CRA_a	DNM1L hCG_1810949	Homo sapiens (Human)	752
DNM1L		F8VR28	F8VR28_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	97
DNM1L		F8VUJ9	F8VUJ9_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	172
DNM1L		F8VYL3	F8VYL3_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	117
DNM1L		F8VZ52	F8VZ52_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	261
DNM1L		F8W1W3	F8W1W3_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	168
DNM1L		G8JLD5	G8JLD5_HUMAN	unreviewed	Dynamin-1-like protein	DNM1L	Homo sapiens (Human)	712
DNM1L		H0YHY4	H0YHY4_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	54
DNM1L		H0YI79	H0YI79_HUMAN	unreviewed	Dynamin-1-like protein (Fragment)	DNM1L	Homo sapiens (Human)	48
DNM1L		O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
DNM1L		Q32Q67	Q32Q67_HUMAN	unreviewed	DNM1L protein (Fragment)	DNM1L	Homo sapiens (Human)	575
DOPEY1		B2RWN9	B2RWN9_HUMAN	unreviewed	DOPEY1 protein	DOPEY1	Homo sapiens (Human)	2456
DOPEY1		H0UI10	H0UI10_HUMAN	unreviewed	Dopey family member 1, isoform CRA_b	DOPEY1 hCG_401115	Homo sapiens (Human)	2356
DOPEY1		H0UI11	H0UI11_HUMAN	unreviewed	Dopey family member 1, isoform CRA_a	DOPEY1 hCG_401115	Homo sapiens (Human)	2275
DOPEY1		Q5JWR5	DOP1_HUMAN	reviewed	Protein dopey-1	DOPEY1 KIAA1117	Homo sapiens (Human)	2465
DOPEY1		Q5TA12	Q5TA12_HUMAN	unreviewed	Protein dopey-1	DOPEY1	Homo sapiens (Human)	2476
DOPEY1		S4R3Y1	S4R3Y1_HUMAN	unreviewed	Protein dopey-1 (Fragment)	DOPEY1	Homo sapiens (Human)	171
DST		A0A0J9YX05	A0A0J9YX05_HUMAN	unreviewed	Dystonin (Dystonin, isoform CRA_l) (Fragment)	DST hCG_2002676	Homo sapiens (Human)	304
DST		A0A0U1RQJ2	A0A0U1RQJ2_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	1674
DST		E7ERX3	E7ERX3_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	154
DST		E7ESK0	E7ESK0_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	133
DST		E7ETB9	E7ETB9_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	1479
DST		E9PHM6	E9PHM6_HUMAN	unreviewed	Dystonin	DST	Homo sapiens (Human)	5497
DST		F6QMI7	F6QMI7_HUMAN	unreviewed	Dystonin	DST	Homo sapiens (Human)	5537
DST		F8W9J4	F8W9J4_HUMAN	unreviewed	Dystonin	DST	Homo sapiens (Human)	7461
DST		H0YAT7	H0YAT7_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	177
DST		H0YBX0	H0YBX0_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	123
DST		H0YC65	H0YC65_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	259
DST		H0YC82	H0YC82_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	448
DST		L8E8Z4	L8E8Z4_HUMAN	unreviewed	Alternative protein DST	DST	Homo sapiens (Human)	83
DST		Q03001	DYST_HUMAN	reviewed	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
DST		Q5T0V7	Q5T0V7_HUMAN	unreviewed	Dystonin (Fragment)	DST	Homo sapiens (Human)	689
DST		Q6P0N6	Q6P0N6_HUMAN	unreviewed	DST protein (Dystonin)	DST	Homo sapiens (Human)	1143
DST		Q86T18	Q86T18_HUMAN	unreviewed	DST protein (Fragment)	DST	Homo sapiens (Human)	258
DST		Q9BSP9	Q9BSP9_HUMAN	unreviewed	DST protein (Fragment)	DST	Homo sapiens (Human)	258
EGFR		A0A068JCC9	A0A068JCC9_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	33
EGFR		A0A068JD88	A0A068JD88_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	52
EGFR		A2VCQ7	A2VCQ7_HUMAN	unreviewed	EGFR protein (Fragment)	EGFR	Homo sapiens (Human)	388
EGFR		A7VMV4	A7VMV4_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	25
EGFR		A7VN05	A7VN05_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	29
EGFR		A7VN06	A7VN06_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		A7VN07	A7VN07_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	27
EGFR		B6RC65	B6RC65_HUMAN	unreviewed	Epidermal growth factor receptor variant EX12_14del (Fragment)	EGFR	Homo sapiens (Human)	137
EGFR		B6RC66	B6RC66_HUMAN	unreviewed	Epidermal growth factor receptor variant EX12_15del (Fragment)	EGFR	Homo sapiens (Human)	85
EGFR		C9JYS6	C9JYS6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	128
EGFR		E2I6F5	E2I6F5_HUMAN	unreviewed	Epidermal growth factor receptor variant (EC 2.7.10.1) (Fragment)	EGFR	Homo sapiens (Human)	80
EGFR		E7BSV0	E7BSV0_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1136
EGFR		E9PFD7	E9PFD7_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1165
EGFR		F1JTL6	F1JTL6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	136
EGFR		G9MC26	G9MC26_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	64
EGFR		G9MC81	G9MC81_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		I3WA68	I3WA68_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	191
EGFR		I3WA72	I3WA72_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	188
EGFR		I3WA73	I3WA73_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	183
EGFR		L0R6G1	L0R6G1_HUMAN	unreviewed	Alternative protein EGFR	EGFR	Homo sapiens (Human)	49
EGFR		P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
EGFR		Q147T7	Q147T7_HUMAN	unreviewed	EGFR protein	EGFR	Homo sapiens (Human)	464
EGFR		Q30BI0	Q30BI0_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	33
EGFR		Q4H1F3	Q4H1F3_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	28
EGFR		Q504U8	Q504U8_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1091
EGFR		Q68GS6	Q68GS6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	645
EGFR		Q75MF2	Q75MF2_HUMAN	unreviewed	Putative uncharacterized protein EGFR (Fragment)	EGFR	Homo sapiens (Human)	387
EGFR		Q8NDU8	Q8NDU8_HUMAN	unreviewed	Epidermal growth factor	EGFR	Homo sapiens (Human)	71
EGFR		Q8WZA5	Q8WZA5_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	27
EGFR		Q9H3C8	Q9H3C8_HUMAN	unreviewed	Truncated epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	131
EGFR		Q9H3D0	Q9H3D0_HUMAN	unreviewed	A431-specific truncated epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	70
ERGIC3		A0A0C4DH46	A0A0C4DH46_HUMAN	unreviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3	ERGIC3	Homo sapiens (Human)	123
ERGIC3		A2TJK5	A2TJK5_HUMAN	unreviewed	ERGIC and golgi 3, isoform CRA_a (Endoplasmic reticulum-localized protein ERp43)	ERGIC3 hCG_38214	Homo sapiens (Human)	383
ERGIC3		A6PVJ2	A6PVJ2_HUMAN	unreviewed	ERGIC and golgi 3 (Endoplasmic reticulum-Golgi intermediate compartment protein 3) (Fragment)	ERGIC3 RP3-477O4.12-011	Homo sapiens (Human)	118
ERGIC3		A6PVJ3	A6PVJ3_HUMAN	unreviewed	ERGIC and golgi 3 (Fragment)	ERGIC3 RP3-477O4.12-017	Homo sapiens (Human)	325
ERGIC3		H0Y5K5	H0Y5K5_HUMAN	unreviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment)	ERGIC3	Homo sapiens (Human)	397
ERGIC3		H0Y621	H0Y621_HUMAN	unreviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment)	ERGIC3	Homo sapiens (Human)	326
ERGIC3		H0Y6Z0	H0Y6Z0_HUMAN	unreviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment)	ERGIC3	Homo sapiens (Human)	157
ERGIC3		H0Y802	H0Y802_HUMAN	unreviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Fragment)	ERGIC3	Homo sapiens (Human)	130
ERGIC3		Q5JWS0	Q5JWS0_HUMAN	unreviewed	ERGIC and golgi 3 (Fragment)	ERGIC3 RP3-477O4.12-006	Homo sapiens (Human)	396
ERGIC3		Q5JWS1	Q5JWS1_HUMAN	unreviewed	ERGIC and golgi 3 (Fragment)	ERGIC3 RP3-477O4.12-015	Homo sapiens (Human)	129
ERGIC3		Q5JWS2	Q5JWS2_HUMAN	unreviewed	ERGIC and golgi 3 (Fragment)	ERGIC3 RP3-477O4.12-008	Homo sapiens (Human)	156
ERGIC3		Q9Y282	ERGI3_HUMAN	reviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84)	ERGIC3 C20orf47 ERV46 SDBCAG84 CGI-54 PRO0989	Homo sapiens (Human)	383
GALC		A0A024R6E8	A0A024R6E8_HUMAN	unreviewed	Galactosylceramidase, isoform CRA_c	GALC hCG_21083	Homo sapiens (Human)	685
GALC		A0A087WX10	A0A087WX10_HUMAN	unreviewed	Galactocerebrosidase (Fragment)	GALC	Homo sapiens (Human)	404
GALC		G3V255	G3V255_HUMAN	unreviewed	Galactocerebrosidase	GALC	Homo sapiens (Human)	434
GALC		G3V4M2	G3V4M2_HUMAN	unreviewed	Galactocerebrosidase	GALC	Homo sapiens (Human)	112
GALC		G3V5E8	G3V5E8_HUMAN	unreviewed	Galactocerebrosidase	GALC	Homo sapiens (Human)	211
GALC		H0YJG8	H0YJG8_HUMAN	unreviewed	Galactocerebrosidase (Fragment)	GALC	Homo sapiens (Human)	72
GALC		H0YJV6	H0YJV6_HUMAN	unreviewed	Galactocerebrosidase (Fragment)	GALC	Homo sapiens (Human)	62
GALC		O95953	O95953_HUMAN	unreviewed	Galactocerebrosidase (EC 3.2.1.46) (Fragment)	GALC	Homo sapiens (Human)	9
GALC		P54803	GALC_HUMAN	reviewed	Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase)	GALC	Homo sapiens (Human)	685
GBF1		Q05BW6	Q05BW6_HUMAN	unreviewed	GBF1 protein (Fragment)	GBF1	Homo sapiens (Human)	699
GBF1		Q504U7	Q504U7_HUMAN	unreviewed	GBF1 protein	GBF1	Homo sapiens (Human)	340
GBF1		Q92538	GBF1_HUMAN	reviewed	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)	GBF1 KIAA0248	Homo sapiens (Human)	1859
GLA		A0A0S3Q2A7	A0A0S3Q2A7_HUMAN	unreviewed	Galactosidase, alpha (Fragment)	GLA	Homo sapiens (Human)	58
GLA		P06280	AGAL_HUMAN	reviewed	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase)	GLA	Homo sapiens (Human)	429
GLA		Q53Y83	Q53Y83_HUMAN	unreviewed	Galactosidase, alpha (Galactosidase, alpha, isoform CRA_a) (cDNA FLJ76285, highly similar to Homo sapiens galactosidase, alpha (GLA), mRNA)	GLA hCG_20401	Homo sapiens (Human)	429
GLA		V9GYN5	V9GYN5_HUMAN	unreviewed	Alpha-galactosidase A	GLA	Homo sapiens (Human)	222
GNAS		A0A0A0MR13	A0A0A0MR13_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS	Homo sapiens (Human)	158
GNAS		A0A0S2Z3H8	A0A0S2Z3H8_HUMAN	unreviewed	GNAS complex locus isoform 1 (Fragment)	GNAS	Homo sapiens (Human)	394
GNAS		A0A0S2Z3S5	A0A0S2Z3S5_HUMAN	unreviewed	GNAS complex locus isoform 2 (Fragment)	GNAS	Homo sapiens (Human)	380
GNAS		A2A2R6	A2A2R6_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	61
GNAS		A2A2S1	A2A2S1_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	166
GNAS		B0AZR9	B0AZR9_HUMAN	unreviewed	GNAS complex locus, isoform CRA_b (cDNA, FLJ79509, highly similar to Guanine nucleotide-binding protein G(s)subunit alpha) (cDNA, FLJ79523, highly similar to Guanine nucleotide-binding protein G(s)subunit alpha)	GNAS hCG_1788380	Homo sapiens (Human)	335
GNAS		H0UI78	H0UI78_HUMAN	unreviewed	GNAS complex locus, isoform CRA_c	GNAS hCG_1788380	Homo sapiens (Human)	476
GNAS		H0Y7E8	H0Y7E8_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	93
GNAS		H0Y7F4	H0Y7F4_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	199
GNAS		H0Y7Z6	H0Y7Z6_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	113
GNAS		O95467	GNAS3_HUMAN	reviewed	Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]	GNAS GNAS1	Homo sapiens (Human)	245
GNAS		P63092	GNAS2_HUMAN	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	GNAS GNAS1 GSP	Homo sapiens (Human)	394
GNAS		P84996	ALEX_HUMAN	reviewed	Protein ALEX (Alternative gene product encoded by XL-exon)	GNAS GNAS1	Homo sapiens (Human)	626
GNAS		Q5FWY2	Q5FWY2_HUMAN	unreviewed	GNAS complex locus	GNAS	Homo sapiens (Human)	380
GNAS		Q5JWD1	Q5JWD1_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS	Homo sapiens (Human)	87
GNAS		Q5JWE9	Q5JWE9_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	193
GNAS		Q5JWF2	GNAS1_HUMAN	reviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)	GNAS GNAS1	Homo sapiens (Human)	1037
GNAS		S4R3E3	S4R3E3_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	160
GNAS		S4R3V9	S4R3V9_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Fragment)	GNAS	Homo sapiens (Human)	120
GNAS		X6R7U9	X6R7U9_HUMAN	unreviewed	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS	Homo sapiens (Human)	720
GOLGA4		A0A087WTW2	A0A087WTW2_HUMAN	unreviewed	Golgin subfamily A member 4	GOLGA4	Homo sapiens (Human)	218
GOLGA4		C9J0Y3	C9J0Y3_HUMAN	unreviewed	Golgin subfamily A member 4 (Fragment)	GOLGA4	Homo sapiens (Human)	118
GOLGA4		C9JHJ5	C9JHJ5_HUMAN	unreviewed	Golgin subfamily A member 4 (Fragment)	GOLGA4	Homo sapiens (Human)	585
GOLGA4		E7EVX2	E7EVX2_HUMAN	unreviewed	Golgin subfamily A member 4 (Fragment)	GOLGA4	Homo sapiens (Human)	445
